region;Name;PointsNumber;TotalArea;TotalPerimetr;AveArea;AvePerimetr;BendNumber;AveAngle;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;
ГРОЗНЫЙ;csrpol200;9401;331894328;1928264;282945;1644;2881;69;759;347;190;426;75242;
ГРОЗНЫЙ;hdcpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;hdrpol200;62041;1960401496493;98520292;1028002882;51662;19652;87;8365;7442;333;7699;4770798;
ГРОЗНЫЙ;hdtpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;poppol200;20148;2643573167;5792226;2960328;6486;9778;58;929;624;203;672;105264;
ГРОЗНЫЙ;rlfpol200;8164;439631308;1813649;1029582;4247;3414;36;990;779;122;831;79087;
СУРГУТ;admpol200;414;88495652072;1702635;44247826036;851317;198;64;12824;10919;2280;10950;264612546;
СУРГУТ;bldpol200;37;172685;4515;24669;645;9;91;395;159;124;175;19429;
СУРГУТ;blkpol200;2224;24744301;385385;63610;991;552;85;622;236;179;284;44351;
СУРГУТ;crdpol200;3318;77737092975;6281399;2591236433;209380;105;40;72752;56698;11656;57557;452806112;
СУРГУТ;csrpol200;265;2922766;31597;132853;1436;48;36;751;325;155;446;59528;
СУРГУТ;hdcpol200;26;2189417;8230;2189417;8230;8;42;1386;755;287;926;313612;
СУРГУТ;hdrpol200;74446;10360434912044;136898488;2056049794;27168;20199;89;12063;11212;381;11463;19035007;
СУРГУТ;hdtpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;poppol200;1231;275546354;440234;2811697;4492;459;58;1427;923;321;1008;337988;
СУРГУТ;rlfpol200;211;3348081;28886;209255;1805;52;40;725;374;143;458;53673;
УФА;admpol200;741;70667933660;1468345;14133586732;293669;365;66;6775;6099;728;6151;43293493;
УФА;bldpol200;509;2854836;82860;32077;931;126;87;625;212;179;261;21535;
УФА;blkpol200;31787;254210097;4934742;46011;893;7521;84;589;211;168;266;33215;
УФА;crdpol200;530;63614677892;4527014;3180733895;226351;32;80;129608;53657;40782;54279;2126673728;
УФА;csrpol200;2651;1065626480;683270;4130335;2648;838;58;1092;693;210;770;277049;
УФА;gndpol200;21569;1103352166;4717102;741999;3172;6403;43;1000;573;219;665;120390;
УФА;hdcpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;hdrpol200;55190;82620402557;11888485;22020363;3169;14651;58;1468;1128;183;1204;351893;
УФА;hdtpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;poppol200;45172;3959173376;12076424;1394075;4252;19779;56;908;596;197;650;103252;
САЛЕХАРД;admpol200;1235;139441631689;2479202;69720815845;1239601;489;68;9770;8135;1832;8170;151013707;
САЛЕХАРД;bldpol200;10;12805;800;6403;400;2;90;240;159;40;160;6402;
САЛЕХАРД;blkpol200;309;3008875;53912;55720;998;85;84;597;257;155;309;35650;
САЛЕХАРД;crdpol200;5046;105233404586;9209837;2192362596;191872;144;52;73576;55031;13892;55360;468996373;
САЛЕХАРД;csrpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;hdcpol200;4892;5091272631;1646610;47581987;15389;1802;32;2236;1877;244;1954;465700;
САЛЕХАРД;hdtpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;poppol200;461;41743738;129506;1018140;3159;178;69;919;507;222;583;120821;
САЛЕХАРД;rlfpol200;4648;2131974630;2522662;7326373;8669;1151;39;3231;2049;628;2288;1536748;
МОСКВА;admpol200;14435;160135124384;6049075;17792791598;672119;6876;48;2041;1822;248;1837;1778120;
МОСКВА;bldpol200;1751;9734743;233489;31813;763;440;88;461;173;129;211;21486;
МОСКВА;blkpol200;82093;1409340152;16137234;114246;1308;22128;75;750;327;189;404;57741;
МОСКВА;crdpol200;125;71337538614;5437579;2853501545;217503;25;90;169223;48280;60606;48821;2853501545;
МОСКВА;csrpol200;7141;336150958;1462099;503220;2189;2313;58;824;460;193;532;95158;
МОСКВА;hdcpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
МОСКВА;hdrpol200;83441;739624362431;28728596;116421275;4522;24246;75;2120;1664;228;1782;3847758;
МОСКВА;hdtpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
МОСКВА;poppol200;126328;11684350259;31095268;1383582;3682;53835;57;850;543;189;596;90730;
МОСКВА;rlfpol200;827;10309165;92531;171819;1542;199;31;745;482;132;545;51848;
