region;Name;PointsNumber;TotalArea;TotalPerimetr;AveArea;AvePerimetr;BendNumber;AveAngle;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;
ЯРОСЛАВЛЬ;admpol200;8010;107745742966;3820589;15392248995;545798;3698;51;1859;1594;290;1609;3459773;
ЯРОСЛАВЛЬ;bldpol200;400;2322267;54945;30159;714;87;89;496;192;147;221;26180;
ЯРОСЛАВЛЬ;BLKPOL200YO;30845;382940312;5798048;72623;1100;7718;83;698;267;194;336;48278;
ЯРОСЛАВЛЬ;crdpol200;102;61764806669;4459466;3088240333;222973;22;88;163021;49640;55839;52602;2807495823;
ЯРОСЛАВЛЬ;csrpol200;4139;552597298;910677;1501623;2475;1405;56;893;544;200;607;95826;
ЯРОСЛАВЛЬ;hdcpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ЯРОСЛАВЛЬ;hdrpol200;60966;87291207713;12184651;15981547;2231;16386;59;1222;861;178;945;703657;
ЯРОСЛАВЛЬ;hdtpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ЯРОСЛАВЛЬ;poppol200;77751;5449355196;20248694;987739;3670;32614;57;899;567;200;626;97902;
ЯРОСЛАВЛЬ;rlfpol200;263;2790733;29112;121336;1266;62;40;643;356;150;423;44963;
ПЕТРОЗАВОДСК;admpol200;1148;109551634182;2356020;36517211394;785340;601;51;6703;5879;903;5925;76376447;
ПЕТРОЗАВОДСК;bldpol200;313;1692693;38028;33854;761;86;86;427;165;117;198;17570;
ПЕТРОЗАВОДСК;blkpol200;14567;97925034;2081156;40282;856;3695;82;539;221;134;278;26174;
ПЕТРОЗАВОДСК;crdpol200;150;89135844393;6706362;2971194813;223545;30;90;167214;56331;55272;57429;2971194813;
ПЕТРОЗАВОДСК;csrpol200;1180;627626115;306610;7132115;3484;405;40;1443;1113;235;1162;466100;
ПЕТРОЗАВОДСК;hdcpol200;242;9774742;30759;1954948;6152;146;60;358;264;75;278;21925;
ПЕТРОЗАВОДСК;hdtpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;poppol200;16977;885546010;3383914;788554;3013;6976;53;735;487;152;532;64513;
ПЕТРОЗАВОДСК;rlfpol200;2126;31860239;287419;254882;2299;1042;45;484;365;71;393;20688;
ВОРОНЕЖ;admpol200;3784;88390029057;2977712;17678005811;595542;1765;49;3152;2689;482;2723;10798676;
ВОРОНЕЖ;bldpol200;356;3102618;52524;57456;973;109;87;486;200;130;241;24520;
ВОРОНЕЖ;blkpol200;24902;315077784;4782816;74381;1129;6072;82;731;285;197;359;50781;
ВОРОНЕЖ;blkpol_1200;24902;315077784;4782816;74381;1129;6072;82;731;285;197;359;50781;
ВОРОНЕЖ;crdpol200;100;54304366011;4178697;2715218301;208935;20;90;168117;40818;63951;41063;2715218300;
ВОРОНЕЖ;csrpol200;5802;1004612238;1419278;1732090;2447;1839;60;1010;587;222;666;117010;
ВОРОНЕЖ;gndpol200;11047;627681354;1945649;965664;2993;3457;41;866;562;172;626;84467;
ВОРОНЕЖ;hdcpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ВОРОНЕЖ;hdrpol200;49576;12985218970;9171157;3614033;2553;16741;44;974;707;148;771;167433;
ВОРОНЕЖ;hdtpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ВОРОНЕЖ;poppol200;67328;9090381129;20117988;3055590;6762;30758;55;1049;711;216;770;120743;
ВОРОНЕЖ;rlfpol2000;434;7038013;54743;281521;2190;151;38;593;422;94;464;38282;
РОСТОВ-ДОН;admpol200;4958;139870396319;3929322;34967599080;982330;1957;58;3897;3319;566;3367;14328409;
РОСТОВ-ДОН;bldpol200;1052;5538963;140177;29940;758;261;88;483;162;145;201;20707;
РОСТОВ-ДОН;blkpol200;54836;577355674;9952614;57736;995;12293;87;685;240;202;293;46135;
РОСТОВ-ДОН;crdpol200;100;62199424030;4461792;3109971202;223090;20;90;179553;43536;68498;43757;3109971201;
РОСТОВ-ДОН;csrpol200;14485;481050122;3603417;271780;2036;4017;67;954;391;253;500;112022;
РОСТОВ-ДОН;gndpol200;12226;2134754475;2872789;4153219;5589;4355;51;1050;741;177;803;113827;
РОСТОВ-ДОН;hdcpol200;279;20057216;66174;1671435;5515;88;35;1265;918;165;1002;149086;
РОСТОВ-ДОН;hdrpol200;106618;398482877964;43142069;105223892;11392;35751;69;2251;1876;202;1968;1057011;
РОСТОВ-ДОН;hdtpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
РОСТОВ-ДОН;poppol200;39165;7576748616;13455395;4420507;7850;18263;54;1193;834;240;893;171213;
РОСТОВ-ДОН;rlfpol200;140;1231461;16728;87961;1195;20;39;843;264;213;431;63081;
УСТЮГ;admpol200;3708;146200043125;4037274;24366673854;672879;1862;48;4816;4393;470;4418;5206104;
УСТЮГ;bldpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;blkpol200;15306;115192888;2350980;44186;902;3871;84;570;210;154;267;29397;
УСТЮГ;crdpol200;125;72597329978;5524095;2903893199;220964;25;90;169376;51588;59083;52001;2903893199;
УСТЮГ;csrpol200;940;98316498;238842;1104680;2684;304;62;1039;587;255;666;142770;
УСТЮГ;gndpol200;41357;7395183912;12678079;2670706;4579;12815;45;1446;888;303;1008;272106;
УСТЮГ;hdcpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;hdrpol200;29079;71248771149;7171027;39692909;3995;7500;59;1555;1182;175;1269;386207;
УСТЮГ;hdtpol200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;poppol200;45552;2302756157;11342175;574253;2828;17750;63;849;476;206;545;91353;
УСТЮГ;rlfpol200;19;121385;1741;121385;1741;2;55;987;234;70;319;56466;
ГРОЗНЫЙ;admpol200;4670;107317140680;3865959;15331020097;552280;1940;45;4379;3922;491;3956;6316126;
ГРОЗНЫЙ;bldpnt200;687;2952639;82772;23621;662;165;88;443;149;133;182;18281;
ГРОЗНЫЙ;bldpol200;687;2952639;82772;23621;662;165;88;443;149;133;182;18281;
ГРОЗНЫЙ;blkpol200;34521;311695286;5709335;50608;927;7933;86;626;222;181;275;38308;
ГРОЗНЫЙ;crdpol200;968;50700555855;3124304;4225046321;260359;33;51;112623;70000;25626;71962;1272239115;
