region;Name;PointsNumber;TotalArea;TotalPerimetr;AveArea;AvePerimetr;BendNumber;AveAngle;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;
ЯРОСЛАВЛЬ;admpol500;4688;100976142010;3628958;14425163144;518423;1902;47;3395;2876;549;2913;7250978;
ЯРОСЛАВЛЬ;BLKPOL500YO;60607;1647977673;17779052;149666;1615;15120;85;1067;421;302;494;105995;
ЯРОСЛАВЛЬ;compol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ЯРОСЛАВЛЬ;crdpol500;20;61755082468;2026876;15438770617;506719;4;90;367204;139515;112942;142238;15438770617;
ЯРОСЛАВЛЬ;csrpol500;241;308994440;102599;77248610;25650;114;34;1961;1684;250;1721;352097;
ЯРОСЛАВЛЬ;ghppol500;45;1029993716;136973;1029993716;136973;14;9;35243;31394;4565;31932;151612386;
ЯРОСЛАВЛЬ;gndpol500;14102;2575782471;6225175;2763715;6679;5736;47;1722;1184;316;1294;311134;
ЯРОСЛАВЛЬ;hdcpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ЯРОСЛАВЛЬ;hdrpol500;17049;7095750230;3833953;7004689;3785;5121;33;1590;1217;249;1290;496621;
ЯРОСЛАВЛЬ;hdtpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ЯРОСЛАВЛЬ;pippol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ЯРОСЛАВЛЬ;poppol500;42474;4181712075;12833680;1632206;5009;22013;62;956;656;215;696;114177;
ЯРОСЛАВЛЬ;rlfpol500;83;9360570;24751;2340143;6188;23;22;1717;1263;318;1327;336646;
ПЕТРОЗАВОДСК;admpol500;654;108767104467;2328386;36255701489;776129;333;57;9907;7862;1864;8115;164660769;
ПЕТРОЗАВОДСК;bldpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;blkpol500;8467;245479816;2370601;167907;1621;2201;79;1032;492;249;571;111350;
ПЕТРОЗАВОДСК;compol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;crdpol500;10;89079324051;1691564;44539662026;845782;2;91;631206;214575;208577;227774;44539662025;
ПЕТРОЗАВОДСК;csrpol500;266;732497375;169846;146499475;33969;108;26;4254;3755;625;3781;2573445;
ПЕТРОЗАВОДСК;ghppol500;38;96414696;37488;96414696;37488;12;12;7203;6166;1259;6167;8282692;
ПЕТРОЗАВОДСК;gndpol500;21533;3240997421;8120458;2896334;7257;7388;31;1903;1379;297;1499;360318;
ПЕТРОЗАВОДСК;hdcpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;hdrpol500;49945;857034245041;48387113;1195305781;67486;19255;83;4809;4411;252;4494;2591303;
ПЕТРОЗАВОДСК;hdtpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;pippol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;poppol500;10266;823795594;2865088;1206143;4195;4872;62;910;600;208;644;99648;
ПЕТРОЗАВОДСК;rlfpol500;68;5425298;18487;2712649;9244;28;19;1914;1774;175;1793;183931;
ВОРОНЕЖ;admpol500;3283;85041798732;2881107;17008359746;576221;1276;44;4521;3873;697;3912;15600589;
ВОРОНЕЖ;bldpol500;42;899743;12093;112468;1512;10;90;1116;332;331;455;82690;
ВОРОНЕЖ;blkpol500;86636;2342043651;25543248;154031;1680;22094;83;1081;472;270;554;99361;
ВОРОНЕЖ;compol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ВОРОНЕЖ;crdpol500;20;54299881037;1891673;13574970259;472918;4;90;342371;130547;106208;132229;13574970259;
ВОРОНЕЖ;csrpol500;588;613739663;231316;55794515;21029;247;26;2663;2368;311;2391;647578;
ВОРОНЕЖ;ghppol500;64;2591217455;317509;1295608728;158754;12;65;65486;56939;7825;58181;374665758;
ВОРОНЕЖ;gndpol500;1790;180747359;595061;1434503;4723;605;39;1535;1028;253;1153;235311;
ВОРОНЕЖ;hdcpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ВОРОНЕЖ;hdrpol500;6912;690356778;1598172;1558367;3608;2042;31;1325;950;196;1043;153754;
ВОРОНЕЖ;hdtpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ВОРОНЕЖ;pippol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
