region;Name;PointsNumber;TotalArea;TotalPerimetr;AveArea;AvePerimetr;BendNumber;AveAngle;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;
ВОРОНЕЖ;poppol500;45696;8776118743;16922168;4693112;9049;24162;63;1153;783;253;839;153795;
ВОРОНЕЖ;rlfpol500;52;2321827;16754;464365;3351;18;45;1243;803;181;915;122451;
ВОРОНЕЖ;vegpol500;22300;12321721109;7870232;17602459;11243;8595;38;1666;1304;276;1357;298804;
ВОРОНЕЖ;vegpol500clip;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
РОСТОВ-ДОН;admlin500;5;62183322523;1008883;62183322523;1008883;1;90;719035;289846;219618;291419;62183322522;
РОСТОВ-ДОН;admpol500;3600;127705884721;3450301;5552429770;150013;1489;51;4409;3726;700;3775;18413874;
РОСТОВ-ДОН;bldpol500;40;924438;11671;115555;1459;8;90;1096;363;367;364;115555;
РОСТОВ-ДОН;blkpol500;55354;1674248022;17750862;166658;1767;13178;86;1181;462;324;537;123137;
РОСТОВ-ДОН;compol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
РОСТОВ-ДОН;crdpol500;20;62197520170;2019627;15549380043;504907;4;90;346462;158444;95756;159022;15549380042;
РОСТОВ-ДОН;csrpol500;86;8082632;34681;1010329;4335;39;61;1506;989;262;1111;216109;
РОСТОВ-ДОН;ghppol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
РОСТОВ-ДОН;gndpol500;2221;380758423;986322;1730720;4483;740;59;1806;1052;336;1236;295857;
РОСТОВ-ДОН;hdcpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
РОСТОВ-ДОН;hdrpol500;29210;206309836689;17965947;210520242;18333;9831;67;3570;2959;354;3081;2439676;
РОСТОВ-ДОН;hdtpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
РОСТОВ-ДОН;pippol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
РОСТОВ-ДОН;poppol500;28888;6109445952;11812927;3799407;7346;14315;59;1350;953;271;1011;205463;
РОСТОВ-ДОН;rlfpol500;8;115958;1321;115958;1321;1;52;1035;284;339;501;115957;
РОСТОВ-ДОН;vegpol500;10817;6593716687;5464515;12233241;10138;4480;49;1995;1418;379;1517;475328;
УСТЮГ;admpol500;3256;142206884483;3862825;28441376897;772565;1559;48;5131;4627;574;4653;6819324;
УСТЮГ;bldpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;blkpol500;27340;634187660;7566230;123841;1477;6470;86;1009;397;291;455;97195;
УСТЮГ;compol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;crdpol500;20;72585014486;2214264;18146253622;553566;4;90;383569;169996;107630;172520;18146253621;
УСТЮГ;csrpol500;12;633022;2998;633022;2998;4;53;908;423;94;551;137088;
УСТЮГ;ghppol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;gndpol500;11106;1241194067;3691484;2058365;6122;4043;38;1557;1099;251;1203;244896;
УСТЮГ;hdcpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;hdrpol500;8097;79453712408;3230083;467374779;19000;2741;56;3454;3089;334;3138;1198765;
УСТЮГ;hdtpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;pipol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;poppol500;19044;1635217174;6566073;909971;3654;8294;64;1135;688;272;756;164075;
УСТЮГ;rlfpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;vegpol500;115628;9432225528287;202071061;38656662001;828160;47199;82;7386;6969;304;7031;3648347;
ГРОЗНЫЙ;admlin500;5;50671583711;902839;50671583711;902839;1;90;660822;242015;213164;244790;50671583710;
ГРОЗНЫЙ;admpol500;2322;98750513227;3567455;14107216175;509636;991;48;6503;5548;893;5651;11854720;
ГРОЗНЫЙ;bldpol500;5;114693;1571;114693;1571;1;90;976;593;205;593;114692;
ГРОЗНЫЙ;blkpol500;18829;497696079;5524717;139763;1551;4305;88;1041;438;286;494;112875;
ГРОЗНЫЙ;compol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;crdpol500;20;50678753511;1804671;12669688378;451168;4;90;325643;125525;100561;126569;12669688378;
ГРОЗНЫЙ;csrpol500;750;98276071;409393;927133;3862;254;72;1934;879;506;1061;426653;
ГРОЗНЫЙ;ghppol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;gndpol500;8289;53840823209;7025463;354215942;46220;3503;57;3706;3064;423;3193;978686;
ГРОЗНЫЙ;hdcpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;hdrpol500;27375;2059722296108;106743803;5098322515;264217;9216;83;20330;17632;1205;18254;41483890;
ГРОЗНЫЙ;hdtpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;pippol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;poppol500;9367;2267799202;4792526;3039945;6424;4250;60;1660;1068;386;1159;347129;
ГРОЗНЫЙ;rlfpol500;3358;830146508;1185197;7758379;11077;1851;36;1312;1117;184;1144;163818;
ГРОЗНЫЙ;vegpol500clip;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;admpol500;1010;90427539371;1742877;45213769686;871438;438;65;6223;5244;1145;5266;119802830;
СУРГУТ;bldpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;blkpol500;691;34212822;266039;273703;2128;164;83;1406;540;396;645;207356;
СУРГУТ;compol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;crdpol500;20;77705872098;2167316;19426468025;541829;4;91;423903;117925;150661;126012;19426468024;
СУРГУТ;csrpol500;1147;10999524155;508806;2199904831;101761;459;24;4812;4462;279;4494;750392;
СУРГУТ;ghppol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;gndpol500;16804;2412591464;5955994;2436961;6016;6460;42;1504;1055;261;1150;226967;
СУРГУТ;hdcpol500;13;1219416;4588;1219416;4588;3;38;1643;1075;421;1163;395812;
СУРГУТ;hdrpol500;39830;8925329922595;100913758;6272192497;70916;9814;84;21176;19753;817;19997;41280477;
СУРГУТ;hdtpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;pippol500;8;517310;3058;517310;3058;3;57;1280;875;187;979;180402;
СУРГУТ;poppol500;984;185428477;365817;2540116;5011;446;59;1301;859;292;927;273040;
СУРГУТ;rlfpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;vegpol500;110000;6494659529381;206503991;86595460392;2753387;37335;83;9200;8338;442;8518;7670092;
УФА;admpol500;857;70063433656;1453628;14012686731;290726;408;66;6922;6357;724;6388;39506950;
УФА;bldpol500;175;2691496;39275;81560;1190;44;88;776;310;221;356;62726;
УФА;blkpol500;57652;1086981481;14560391;100927;1352;13721;87;928;351;276;405;79400;
УФА;compol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;crdpol500;30;63585025922;2466294;10597504320;411049;6;90;352177;58872;146725;60947;10597504320;
УФА;csrpol500;343;332618940;168086;30238085;15281;115;53;2280;1796;422;1839;1197963;
УФА;ghppol500;7;1556425;6604;1556425;6604;1;79;6381;221;1045;2824;1556424;
УФА;gndpol500;5230;250227974;1104242;794375;3506;1710;31;1069;776;183;834;120668;
УФА;hdcpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;hdrpol500;14512;30853755435;4203190;81840200;11149;5334;43;2263;1993;264;2025;770508;
УФА;hdtpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;pippol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;poppol500;41244;2962912901;9442612;1390386;4431;23302;54;751;580;150;596;61305;
УФА;rlfpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;admpol500;696;135502858199;2182931;45167619400;727644;269;61;12491;10974;1849;11007;110463424;
САЛЕХАРД;bldpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;blkpol500;139;5176977;48785;207079;1951;35;86;1160;448;358;498;145827;
САЛЕХАРД;compol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;crdpol500;20;105127779184;2729206;26281944796;682302;4;91;513795;168506;167963;180476;26281944796;
САЛЕХАРД;csrpol500;18;1077176;8390;359059;2797;6;80;1807;860;270;1068;201695;
САЛЕХАРД;ghppol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;gndpol500;63858;10604575724;22427527;2727514;5768;22498;44;1550;1037;267;1154;242952;
САЛЕХАРД;hdcpol500;925;263519604;289429;13175980;14471;362;23;2372;2030;327;2070;893756;
САЛЕХАРД;hdtpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;pippol500;26;2647679;10288;1323839;5144;10;50;1526;937;243;1084;217351;
САЛЕХАРД;poppol500;293;32023272;102345;1104251;3529;118;62;1212;780;265;837;149525;
САЛЕХАРД;rlfpol500;6735;132503853260;12812953;8833590217;854197;1430;91;13585;10555;981;11148;9791017;
МОСКВА;admlin500;5;71301693327;1088533;71301693327;1088533;1;91;764122;324409;227886;331794;71301693326;
МОСКВА;admpol500;7564;157049269867;6041861;17449918874;671318;3284;53;3409;2930;482;2970;3769411;
МОСКВА;bldpol500;3354;36554289;640977;55385;971;687;89;724;244;233;294;53018;
МОСКВА;blkpol500;76700;2542325302;23637685;187806;1746;19799;82;1110;488;297;564;125325;
МОСКВА;compol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
МОСКВА;crdpol500;20;71328143464;2172055;17832035866;543014;4;90;417652;125362;146562;128463;17832035866;
МОСКВА;csrpol500;151;75763119;73005;8418124;8112;75;52;1745;1366;311;1409;339092;
МОСКВА;ghppol500;30;687807563;110039;687807563;110039;11;25;30344;29277;2077;29311;58659310;
МОСКВА;gndpol500;10045;1877243947;4214416;2989242;6711;4069;46;1663;1155;305;1257;290208;
МОСКВА;hdcpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
МОСКВА;hdrpol500;24414;47311770377;8600782;47217336;8584;7895;59;2295;1935;233;2012;531915;
МОСКВА;hdtpol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
МОСКВА;pippol500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
МОСКВА;poppol500;47951;7768909586;16053317;2507718;5182;24170;63;1054;694;245;745;146001;
МОСКВА;rlfpol500;67;7781450;19664;2593817;6555;20;21;1635;1274;324;1289;304626;
