region;Name;PointsNumber;TotalArea;TotalPerimetr;AveArea;AvePerimetr;BendNumber;AveAngle;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;
ГРОЗНЫЙ;admpol1000;5827;83776998832;8415266;1611096131;161832;2789;41;6072;5210;864;5289;4257462;
ГРОЗНЫЙ;blkpol1000;189;220337578;150722;31476797;21532;86;50;3004;2166;608;2308;964333;
ГРОЗНЫЙ;crdpol1000;62;50905404201;1320650;25452702100;660325;3;63;407112;172369;115446;176701;16965302485;
ГРОЗНЫЙ;csrpol1000;21;5677411;18921;1892470;6307;7;71;3119;1261;1009;1598;849014;
ГРОЗНЫЙ;gndpol1000;3276;21319150881;3827053;188665052;33868;1467;51;4488;3267;784;3501;2043154;
ГРОЗНЫЙ;hdcpol1000;3276;21319150881;3827053;188665052;33868;1467;51;4488;3267;784;3501;2043154;
ГРОЗНЫЙ;hdrpol1000;11427;2260045376624;56120529;35873736137;890802;4382;86;25844;23700;1127;24154;61756445;
ГРОЗНЫЙ;poppol1000;1266;908957708;1045252;10820925;12443;572;51;2874;1979;613;2116;919719;
ГРОЗНЫЙ;rlfpol1000;1951;706793781;629371;20788052;18511;820;25;2764;2481;304;2514;667118;
ГРОЗНЫЙ;subject1000;2376;97300372488;3487686;13900053213;498241;1004;38;7502;6746;858;6796;11430285;
ГРОЗНЫЙ;vegpol1000;11415;50096559913;5303873;538672687;57031;5210;30;2942;2665;337;2687;831102;
СУРГУТ;admpol1000;690;134679765350;2973787;33669941338;743447;326;65;14516;11928;2720;12128;143610300;
СУРГУТ;blkpol1000;88;75292599;78398;15058520;15680;43;58;3061;2281;524;2435;900557;
СУРГУТ;crdpol1000;86;78107609189;1589902;39053804595;794951;3;70;434559;234683;102258;240540;26035539475;
СУРГУТ;csrpol1000;505;8479987666;443150;4239993833;221575;174;36;5427;4656;764;4704;15003604;
СУРГУТ;gndpol1000;27908;56256112295;19039063;92985310;31470;8518;45;3705;2725;640;2884;1454986;
СУРГУТ;hdcpol1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;poppol1000;146;131489515;107556;14609946;11951;64;56;2739;2028;545;2122;978017;
СУРГУТ;rlfpol1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;subject1000;596;89853833575;1730503;44926916787;865252;270;67;9585;7987;1934;8018;201874276;
УФА;admpol1000;7881;119390139039;11314989;1808941501;171439;3605;56;5259;4028;1000;4172;3164309;
УФА;blkpol1000;166;85878498;133785;5725233;8919;55;48;3395;2177;681;2411;1367687;
УФА;crdpol1000;74;63863154709;1426069;31931577355;713034;3;67;470352;136163;164537;143617;21285864662;
УФА;csrpol1000;588;1004516983;211713;502258491;105857;237;43;1907;1701;193;1726;698937;
УФА;gndpol1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;hdcpol1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;hdrpol1000;1331;6242158997;884334;195067469;27635;370;32;4681;3689;704;3862;2940144;
УФА;poppol1000;962;528627590;645250;8259806;10082;383;47;2534;1753;530;1877;715243;
УФА;rlfpol1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;subject1000;425;70188493878;1459525;14037698776;291905;217;74;9021;7853;1249;7941;70443853;
САЛЕХАРД;admpol1000;2690;170445912535;4930231;2053565211;59400;1020;48;8617;7270;1393;7402;38228057;
САЛЕХАРД;blkpol1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;crdpol1000;213;106415280743;2281684;35471760248;760561;5;63;456366;178967;135242;189105;21280658233;
САЛЕХАРД;csrpol1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;gndpol1000;18354;9853265370;13745659;7650051;10672;8443;49;2562;1796;467;1955;688811;
САЛЕХАРД;hdcpol1000;475;4507489432;538461;500832159;59829;204;33;5402;4346;854;4507;3074110;
САЛЕХАРД;poppol1000;15;8863698;14702;8863698;14702;6;47;3748;2752;577;3052;1164959;
САЛЕХАРД;rlfpol1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;subject1000;2435;371779600685;5403961;371779600685;5403961;957;79;10498;8367;838;8772;116504925;
МОСКВА;admpol1000;18107;120819541587;14646294;1245562284;150993;8603;45;3275;2700;564;2750;1284743;
МОСКВА;blkpol1000;2570;1617887088;2056132;9245069;11749;1151;50;2987;2179;552;2308;874709;
МОСКВА;crdpol1000;80;71708812304;1523367;35854406152;761684;3;65;471305;181413;144456;187551;23902704454;
МОСКВА;csrpol1000;22;60376433;30618;60376433;30618;11;40;5321;4422;1107;4422;3741981;
МОСКВА;gndpol1000;1979;1378334105;1821973;8204370;10845;690;53;3549;2037;741;2363;1381099;
МОСКВА;hdcpol1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
МОСКВА;hdrpol1000;6855;36436394405;4601004;150563613;19012;2187;54;3926;3245;453;3376;1152372;
МОСКВА;poppol1000;4003;4492234107;2856074;28612956;18192;2157;56;2656;2003;494;2087;714677;
МОСКВА;rlfpol1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
МОСКВА;subject1000;7996;149222599895;5578667;16580288877;619852;3937;50;3312;2933;424;2959;3612010;
