Region;Name;PointsNumber;BendNumber;AveAngle;TotalArea;Length;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
РОСТОВ-ДОН500;comlin500.shp;361;200;13;3106606432;1009906;20164;19789;1097;19789;15769576;15;3,467;0,433;15;
САЛЕХАРД500;comlin500.shp;43;23;9;56137020;98158;13647;13511;437;13511;2440740;3;5,333;0,667;3;
СУРГУТ500;comlin500.shp;335;178;23;1731828547;1016246;12635;11984;1195;11992;9784342;17;3,529;0,441;17;
УСТЮГ500;comlin500.shp;307;210;5;1520555157;193858;26646;26558;406;26558;7275384;5;4;0,5;5;
УФА500;comlin500.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ1000;comlin1000.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ГРОЗНЫЙ1000;comlin1000.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
МОСКВА1000;comlin1000.shp;137;79;16;1118794188;409816;16033;15611;1075;15610;14161952;8;3,875;0,484;8;
ПЕТРОЗАВОДСК1000;comlin1000.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
РОСТОВ-ДОН1000;comlin1000.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
САЛЕХАРД1000;comlin1000.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
СУРГУТ1000;comlin1000.shp;548;321;16;1874968460;922650;10091;9792;689;9795;5841023;18;3,333;0,417;18;
УСТЮГ1000;comlin1000.shp;55;33;9;2035115564;198524;36399;35535;1925;35535;61670169;1;8;1;1;
УФА1000;comlin1000.shp;243;132;8;2763662077;649768;21152;20772;1215;20772;20936834;11;3,727;0,466;11;
ВОРОНЕЖ200;crdlin200.shp;62;0;0;0;1615732;0;0;0;0;0;31;2,484;0,414;31;
ГРОЗНЫЙ200;crdlin200.shp;488;10;0;27676076;1110725;69697;69697;71;69697;3459510;17;2,706;0,451;17;
МОСКВА200;crdlin200.shp;80;0;0;0;2174502;0;0;0;0;0;40;2,375;0,396;40;
ПЕТРОЗАВОДСК200;crdlin200.shp;98;0;0;0;2727093;0;0;0;0;0;49;2,327;0,388;49;
РОСТОВ-ДОН200;crdlin200.shp;62;0;0;0;1726445;0;0;0;0;0;31;2,452;0,409;31;
САЛЕХАРД200;crdlin200.shp;2568;55;0;78555661;3911627;44555;44555;51;44555;1482182;83;2,301;0,384;83;
СУРГУТ200;crdlin200.shp;1682;40;0;61836754;2554663;50701;50701;47;50701;1627283;49;2,449;0,408;49;
УСТЮГ200;crdlin200.shp;80;0;0;0;2209214;0;0;0;0;0;40;2,625;0,438;40;
УФА200;crdlin200.shp;277;7;0;11210659;1747213;38974;38974;50;38974;1868443;31;2,452;0,409;31;
ВОРОНЕЖ500;crdlin500.shp;480;195;23;142500958;184130;2873;2573;322;2594;738347;6;4,333;0,394;6;
ГРОЗНЫЙ500;crdlin500.shp;8;0;0;0;450911;0;0;0;0;0;4;4,5;0,75;4;
МОСКВА500;crdlin500.shp;8;0;0;0;541746;0;0;0;0;0;4;4,5;0,75;4;
ПЕТРОЗАВОДСК500;crdlin500.shp;2;0;0;0;219730;0;0;0;0;0;1;6;1;1;
РОСТОВ-ДОН500;crdlin500.shp;8;0;0;0;5;0;0;0;0;0;4;4,5;0,75;4;
САЛЕХАРД500;crdlin500.shp;124;75;1;6471006483;890376;110462;110430;816;110430;86280086;4;4,25;0,708;4;
СУРГУТ500;crdlin500.shp;8;0;0;0;497647;0;0;0;0;0;4;4,75;0,792;4;
УФА500;crdlin500.shp;14;0;0;0;716860;0;0;0;0;0;7;3,571;0,595;7;
ВОРОНЕЖ1000;crdlin1000.shp;60;2;0;240780374;386612;193306;193294;935;193294;120390187;2;4;0,667;2;
ГРОЗНЫЙ1000;crdlin1000.shp;56;2;0;229355813;417811;208905;208897;824;208897;114677907;2;4;0,667;2;
МОСКВА1000;crdlin1000.shp;74;2;0;396873283;434834;217417;217394;1370;217394;198436641;2;4;0,667;2;
ПЕТРОЗАВОДСК1000;crdlin1000.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
РОСТОВ-ДОН1000;crdlin1000.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
САЛЕХАРД1000;crdlin1000.shp;206;4;0;1316203391;895212;223803;223746;2195;223746;329050848;4;3,25;0,542;4;
СУРГУТ1000;crdlin1000.shp;80;2;0;411452219;417881;208940;208913;1478;208913;205726110;2;4;0,667;2;
УСТЮГ1000;crdlin1000.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
УФА1000;crdlin1000.shp;68;2;0;294100802;393512;196756;196739;1122;196739;147050401;2;4;0,667;2;
ВОРОНЕЖ200;csrlin200.shp;1170;466;37;74170855;293086;1200;975;186;1005;159165;41;3,39;0,339;41;
ГРОЗНЫЙ200;csrlin200.shp;196;54;36;26568928;56129;1801;1470;311;1504;492017;18;3,667;0,367;18;
МОСКВА200;csrlin200.shp;2321;632;39;85112503;400804;868;567;190;619;135099;255;3,169;0,317;255;
ПЕТРОЗАВОДСК200;csrlin200.shp;1010;309;29;181626989;241831;1632;1371;250;1394;591619;98;3,306;0,331;98;
РОСТОВ-ДОН200;csrlin200.shp;178;37;42;2878722;32310;747;480;196;507;79965;47;3,255;0,326;47;
САЛЕХАРД200;csrlin200.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
СУРГУТ200;csrlin200.shp;61;18;63;813572;9843;591;351;152;378;45198;9;4;0,4;9;
УСТЮГ200;csrlin200.shp;79;15;72;1003068;12973;728;293;212;348;66871;15;3,8;0,38;15;
УФА200;csrlin200.shp;505;178;38;77958975;173511;1811;1497;294;1520;437972;30;3,467;0,347;30;
ГРОЗНЫЙ500;csrlin500.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
МОСКВА500;csrlin500.shp;50;24;42;12139360;32264;2509;2218;358;2222;505807;1;11;1;1;
ПЕТРОЗАВОДСК500;csrlin500.shp;227;89;24;210390774;160977;4484;4049;573;4071;2363941;2;7;0,636;2;
РОСТОВ-ДОН500;csrlin500.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
САЛЕХАРД500;csrlin500.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
СУРГУТ500;csrlin500.shp;1109;448;24;333152929;496341;4890;4548;278;4578;762364;1;11;1;1;
УСТЮГ500;csrlin500.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
УФА500;csrlin500.shp;171;52;30;38609112;64153;2058;1592;399;1620;742483;2;7;0,636;2;
ВОРОНЕЖ200;forlin200.shp;57;3;3;37319;46693;1660;1660;15;1660;12440;27;3,074;0,615;27;
ГРОЗНЫЙ200;forlin200.shp;120;8;47;5638891;97015;2613;2163;591;2164;704861;55;3,036;0,607;55;
МОСКВА200;forlin200.shp;221;13;39;2682525;128000;1785;1616;228;1616;206348;104;3,019;0,604;104;
ПЕТРОЗАВОДСК200;forlin200.shp;69843;2122;40;643785963;39537110;2151;1956;271;1959;303816;33765;2,942;0,588;33765;
РОСТОВ-ДОН200;forlin200.shp;53;3;89;474731;29202;1159;857;364;857;158244;25;3,08;0,616;25;
