region;Name;PointsNumber;TotalArea;Length;BendNumber;AveAngle;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;
ЯРОСЛАВЛЬ;admin200k;4008;521283661;1405943;1845;32;1567;1334;254;1349;282539;
ЯРОСЛАВЛЬ;bldlin200;49066;46575160;6685612;2558;58;459;375;91;381;18358;
ЯРОСЛАВЛЬ;comlin200;5284;15514511068;7621749;2812;13;11545;11345;583;11346;5525111;
ЯРОСЛАВЛЬ;crdlin200;63;50714;1721656;1;0;63937;63937;1;63937;50713;
ЯРОСЛАВЛЬ;csrlin200;1328;46253388;265954;440;39;977;724;179;765;105601;
ЯРОСЛАВЛЬ;forlin200;607;1772712;363889;23;12;1659;1620;68;1620;77074;
ЯРОСЛАВЛЬ;hdclin200;2038;106684383;655327;323;16;1551;1424;187;1429;330292;
ЯРОСЛАВЛЬ;hddlin200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ЯРОСЛАВЛЬ;hdrlin200clip;4679;78718808;957899;1689;53;811;713;87;736;47165;
ЯРОСЛАВЛЬ;hdtlin200;1823;46788538;384446;257;34;1239;1039;183;1067;182057;
ЯРОСЛАВЛЬ;piplin200;2371;2459476917;2226705;1203;16;6342;6141;463;6143;2044453;
ЯРОСЛАВЛЬ;railway200k;7940;16405920497;4065618;3155;12;7466;7134;592;7136;5206576;
ЯРОСЛАВЛЬ;rdclin200;1480;89047008;579777;417;14;1884;1826;118;1830;214055;
ЯРОСЛАВЛЬ;rdslin200clip;15439;184223060;3280963;3340;41;984;895;94;912;56166;
ЯРОСЛАВЛЬ;rivers200k;125574;4095615484;31448698;46325;28;999;905;135;909;88481;
ЯРОСЛАВЛЬ;rlflin200;18415;356176063;2623172;6426;19;766;697;94;702;56224;
ЯРОСЛАВЛЬ;rlhlin200;414435;15009426541;78617318;141702;34;971;701;198;742;106056;
ЯРОСЛАВЛЬ;roads200k;135148;6473156123;40834063;44269;19;1476;1401;145;1402;146428;
ЯРОСЛАВЛЬ;veglin200;2634;64034715;989766;571;22;1453;1366;133;1370;112145;
ПЕТРОЗАВОДСК;admlin200;572;326007063;551949;299;24;4675;4364;416;4377;1090325;
ПЕТРОЗАВОДСК;bldlin200;3665;4147070;411864;399;53;345;297;66;297;10552;
ПЕТРОЗАВОДСК;comlin200;28504;15058789077;12303949;14038;13;3749;3644;245;3644;1078555;
