region;Name;PointsNumber;TotalArea;Length;BendNumber;AveAngle;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;
ПЕТРОЗАВОДСК;crdlin200;98;0;2727093;0;0;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;csrlin200;1010;181626989;241831;309;29;1632;1371;250;1394;591619;
ПЕТРОЗАВОДСК;forlin200;69843;643785963;39537110;2122;40;2151;1956;271;1959;303816;
ПЕТРОЗАВОДСК;hdclin200;1070;3889184;285351;148;18;690;669;59;670;26278;
ПЕТРОЗАВОДСК;hddlin200;11164;3445857472;3138361;3608;20;2741;2379;352;2415;955325;
ПЕТРОЗАВОДСК;hdrlin200;64931;1540200364;12587887;25741;30;774;696;109;700;59956;
ПЕТРОЗАВОДСК;hdtlin200;83;2848115;25036;19;27;1691;1417;198;1489;149901;
ПЕТРОЗАВОДСК;piplin200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;rdclin200;1589;98286771;537092;506;12;1887;1845;116;1845;194243;
ПЕТРОЗАВОДСК;rdslin200;113240;7273497131;29131474;42656;18;1512;1423;159;1424;170643;
ПЕТРОЗАВОДСК;rlflin200;1728;39628813;335054;578;22;904;826;103;833;68681;
ПЕТРОЗАВОДСК;rlhlin200;327534;4764652885;35070196;107348;26;626;489;111;508;46356;
ПЕТРОЗАВОДСК;rrslin200;4129;3018182115;1730062;1693;13;4801;4588;402;4590;1784850;
ПЕТРОЗАВОДСК;veglin200;124;4477793;41739;35;18;1420;1324;157;1324;131700;
ВОРОНЕЖ;admlin200;1891;499840752;1005690;882;34;2382;2038;350;2067;566713;
ВОРОНЕЖ;bldlin200;68790;116676178;9842196;5920;52;491;399;90;408;19809;
ВОРОНЕЖ;comlin200;4198;13988105605;6388675;2112;16;10154;9864;674;9869;6629434;
ВОРОНЕЖ;crdlin200;62;0;1615732;0;0;-1;-1;-1;-1;-1;
ВОРОНЕЖ;csrlin200;1170;74170855;293086;466;37;1200;975;186;1005;159165;
ВОРОНЕЖ;forlin200;57;37319;46693;3;3;1660;1660;15;1660;12439;
ВОРОНЕЖ;hdclin200;545;7390766;157780;100;23;1071;980;115;992;73908;
ВОРОНЕЖ;hddlin200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ВОРОНЕЖ;hdrlin200;44979;1811178015;10314031;17060;25;1078;975;145;979;106290;
ВОРОНЕЖ;hdtlin200;4115;23583502;613763;285;44;823;564;152;617;82749;
ВОРОНЕЖ;piplin200;1694;2938580999;1578357;720;16;8493;8185;586;8194;4092731;
ВОРОНЕЖ;rdclin200;698;247698280;254927;172;12;2637;2476;273;2476;1440106;
ВОРОНЕЖ;rdslin200;95149;5285550230;35271524;29061;20;1661;1568;160;1571;182172;
ВОРОНЕЖ;rlflin200;62999;522730879;8015702;23716;18;585;546;54;551;22522;
ВОРОНЕЖ;rlhlin200;476985;23334910371;100179046;162058;30;1132;848;221;887;144198;
ВОРОНЕЖ;rrslin200;3968;19172600317;1989552;1406;11;9233;8539;998;8543;13655698;
ВОРОНЕЖ;veglin200;16975;1333471924;8921727;5320;22;2128;1977;197;1987;250747;
РОСТОВ-ДОН;admlin200;3164;1295361796;1531478;1263;39;3041;2681;380;2707;1025623;
РОСТОВ-ДОН;bldlin200;39979;111787322;6550813;3338;70;595;381;145;404;34061;
РОСТОВ-ДОН;comlin200;5606;16120798878;10433566;2768;21;10692;10246;768;10257;5870648;
РОСТОВ-ДОН;crdlin200;62;0;1726445;0;0;-1;-1;-1;-1;-1;
РОСТОВ-ДОН;csrlin200;178;2878722;32310;37;42;747;480;196;507;79964;
РОСТОВ-ДОН;forlin200;53;474731;29202;3;89;1159;857;364;857;158243;
РОСТОВ-ДОН;hdclin200;2850;186413075;652561;793;21;1485;1270;219;1291;235370;
РОСТОВ-ДОН;hddlin200;2876;518172597;640911;901;22;1987;1661;303;1697;575108;
РОСТОВ-ДОН;hdrlin200;54406;1913027293;14568677;15705;31;1105;962;158;974;121872;
РОСТОВ-ДОН;hdtlin200;9067;455807908;2129917;1566;35;1586;1279;240;1320;291810;
РОСТОВ-ДОН;piplin200;4929;6795954799;4847706;1964;17;8800;8571;475;8575;3501265;
РОСТОВ-ДОН;rdclin200;1334;96948275;590597;233;13;3059;2965;189;2967;419689;
РОСТОВ-ДОН;rdslin200;153455;3865092471;51813648;24300;28;1468;1357;160;1360;160651;
РОСТОВ-ДОН;rlflin200;2865;107072633;627480;899;20;1179;1077;135;1085;119235;
РОСТОВ-ДОН;rlhlin200;234732;19432325597;60332214;84040;27;1579;1272;237;1323;231478;
РОСТОВ-ДОН;rrslin200;2818;8576572172;2042258;1021;9;10466;10046;750;10052;8408404;
РОСТОВ-ДОН;veglin200;34128;2046506976;20732020;7415;28;2143;1955;226;1961;277042;
УСТЮГ;admlin200;1852;1126618691;1363170;929;32;3960;3612;401;3631;1214029;
УСТЮГ;bldlin200;20125;25657481;2871061;1612;49;443;386;79;387;16016;
УСТЮГ;comlin200;9024;7752827696;6563767;4690;16;5185;5062;307;5063;1656587;
УСТЮГ;crdlin200;80;0;2209214;0;0;-1;-1;-1;-1;-1;
УСТЮГ;csrlin200;79;1003068;12973;15;72;728;293;211;348;66871;
УСТЮГ;forlin200;29383;686070995;20711554;6231;15;1995;1933;82;1935;111015;
УСТЮГ;hdclin200;5296;30572988;1315315;566;21;787;735;104;736;54016;
УСТЮГ;hddlin200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;hdrlin200;190766;5925360953;40779344;77433;23;957;889;113;891;76591;
УСТЮГ;hdtlin200;432;80454;50603;8;31;369;347;45;347;10057;
УСТЮГ;piplin200;23;50485557;46338;13;13;11287;11152;492;11153;3883504;
УСТЮГ;rdclin200;408;31529374;163826;100;11;1909;1875;118;1875;315294;
УСТЮГ;rdslin200;111374;6978566222;34438619;35914;18;1653;1565;163;1566;194503;
УСТЮГ;rlflin200;2799;60659279;403110;843;17;788;727;101;728;72820;
УСТЮГ;rlhlin200;788822;30758910885;147087527;245779;31;1064;772;219;813;125249;
УСТЮГ;rrslin200;4247;2810199378;2462046;1636;13;6103;5870;425;5872;1724049;
УСТЮГ;veglin200;1465;25920492;437876;371;23;1037;974;110;976;70245;
ГРОЗНЫЙ;admlin200;2693;1256190341;1477856;1054;27;3669;3288;408;3319;1191831;
ГРОЗНЫЙ;bldlin200;11768;27410878;1714203;1054;74;511;327;132;345;26155;
ГРОЗНЫЙ;comlin200;4840;12091026852;7799966;2264;20;8449;8080;712;8088;5354751;
ГРОЗНЫЙ;crdlin200;488;27676076;1110725;10;0;69697;69697;71;69697;3459509;
ГРОЗНЫЙ;csrlin200;196;26568928;56129;54;36;1801;1470;311;1504;492017;
ГРОЗНЫЙ;forlin200;120;5638891;97015;8;47;2613;2163;590;2163;704861;
ГРОЗНЫЙ;hdclin200;523;10610285;118535;171;20;1018;951;106;958;62048;
ГРОЗНЫЙ;hddlin200;263;430334909;109304;57;10;9895;8548;1371;8589;7549735;
ГРОЗНЫЙ;hdrlin200;93740;4837233043;27774506;29491;22;1411;1310;155;1314;164108;
ГРОЗНЫЙ;hdtlin200;2433;1089125435;960931;667;22;3557;3205;425;3231;1635323;
ГРОЗНЫЙ;piplin200;6652;12973168446;4948132;2671;14;6501;6302;456;6305;4915941;
ГРОЗНЫЙ;rdclin200;664;211631397;430516;172;10;7204;7024;332;7033;1230415;
ГРОЗНЫЙ;rdslin200;95887;6735924688;31082942;25310;19;1864;1752;189;1755;266886;
ГРОЗНЫЙ;rlflin200;10512;324051424;2392143;3865;19;1108;1042;113;1045;83908;
ГРОЗНЫЙ;rlhlin200;715099;35155616634;145511725;262756;33;1082;827;187;871;133893;
ГРОЗНЫЙ;rrslin200;1069;8136523107;803624;411;9;13013;12655;865;12660;19845178;
ГРОЗНЫЙ;veglin200;6890;517922793;4363427;1727;23;2379;2212;204;2221;300594;
СУРГУТ;admlin200;204;339229723;265297;98;24;6976;6589;586;6596;3461528;
СУРГУТ;bldlin200;10;0;1398;0;0;-1;-1;-1;-1;-1;
СУРГУТ;comlin200;2322;6632740084;3909738;1152;19;10405;10062;770;10069;5757587;
СУРГУТ;crdlin200;1682;61836754;2554663;40;0;50701;50701;47;50701;1627283;
СУРГУТ;csrlin200;61;813572;9843;18;63;591;351;152;378;45198;
СУРГУТ;forlin200;14449;687509061;15052733;876;25;3987;3801;315;3803;790240;
СУРГУТ;hdclin200;390;5174624;131017;85;16;1216;1191;91;1191;60878;
СУРГУТ;hddlin200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;hdrlin200;33784;1016325584;5734069;14104;27;839;739;120;746;72213;
СУРГУТ;hdtlin200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;piplin200;4011;9261771609;3237508;1606;13;8040;7629;758;7631;5770574;
СУРГУТ;rdclin200;81;11659022;41916;15;10;4564;4413;328;4413;777268;
СУРГУТ;rdslin200;25403;4618235872;9424674;8830;17;2496;2333;267;2335;523135;
СУРГУТ;rlflin200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;rlhlin200;115001;4666328166;20185665;34913;27;1078;799;205;842;133786;
СУРГУТ;rrslin200;504;5902407199;380122;165;10;23300;21329;2006;21329;35772165;
СУРГУТ;veglin200;29;1272681;11045;9;16;1559;1501;135;1501;141409;
УФА;admlin200;366;141000082;217888;181;28;2466;2156;363;2178;779006;
УФА;bldlin200;29984;46523019;4428044;2313;58;481;390;100;395;20307;
УФА;comlin200;7060;20010417063;9917100;3330;18;8843;8585;603;8588;6041793;
УФА;crdlin200;277;11210659;1747213;7;0;38974;38974;50;38974;1868443;
УФА;csrlin200;505;77958975;173511;178;38;1811;1497;294;1520;437972;
УФА;forlin200;18609;379941295;8167506;7174;8;1832;1812;40;1812;53475;
УФА;hdclin200;1881;81790899;601435;293;14;1641;1546;177;1547;279150;
УФА;hddlin200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;hdrlin200;123169;4446798974;24978406;51374;23;1020;938;123;941;86650;
УФА;hdtlin200;1320;31746858;218577;120;29;1076;927;156;942;264557;
УФА;piplin200;4239;4621824147;3711804;2009;14;6479;6318;399;6319;2321358;
УФА;rdclin200;778;0;5;235;13;-1;-1;-1;-1;-1;
УФА;rdslin200;107086;7331727153;35291195;36540;19;1699;1606;169;1607;201018;
УФА;rlflin200;9440;256904621;1768537;3345;22;877;805;103;810;76964;
УФА;rlhlin200;1431686;52847417428;272798476;531723;32;963;730;182;763;99505;
УФА;rrslin200;2874;1723929843;1216850;1054;15;4475;4207;416;4211;1635607;
УФА;veglin200;9744;447403197;4840804;3131;19;1786;1702;136;1704;143353;
САЛЕХАРД;admlin200;720;1890481650;442970;275;18;5917;5349;813;5367;6874479;
САЛЕХАРД;bldlin200;99;127717;13590;9;65;397;299;92;313;14191;
САЛЕХАРД;comlin200;348;1393018289;717713;182;15;11961;11602;845;11604;7653947;
САЛЕХАРД;crdlin200;2568;78555661;3911627;55;0;44555;44555;51;44555;1482182;
САЛЕХАРД;csrlin200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;forlin200;1490;416032829;2010416;235;29;5418;5093;498;5098;1777918;
САЛЕХАРД;hdclin200;1266;15435429;379601;270;19;995;955;97;955;57381;
САЛЕХАРД;hdddlin200;1923;5681538571;895519;414;11;8894;7701;1205;7810;13790142;
САЛЕХАРД;hdrlin200;237239;5538496484;38538973;94209;28;747;648;114;655;58864;
САЛЕХАРД;hdtlin200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;piplin200;317;1322780830;526667;164;11;12532;12243;870;12243;8065737;
САЛЕХАРД;rdclin200;152;13916694;54485;61;16;1908;1851;150;1851;228143;
САЛЕХАРД;rdslin200;17835;7812142563;7562176;6793;14;3979;3794;349;3794;1151724;
САЛЕХАРД;rlflin200;1245;18698759;207815;311;21;756;686;107;688;60319;
САЛЕХАРД;rlhlin200;896046;22376213696;138815467;270370;33;852;577;182;623;82899;
САЛЕХАРД;rrslin200;641;703136503;296378;246;13;7613;7294;542;7294;2858278;
САЛЕХАРД;veglin200;10784;417662036;3038786;3991;25;1095;1003;141;1006;104730;
МОСКВА;admlin200;4910;700387303;1766176;2229;33;1624;1375;268;1391;314216;
МОСКВА;bldlin200;58578;45949802;7688558;2944;56;426;351;85;355;15769;
МОСКВА;comlin200;5488;22936866140;7788947;3008;12;12861;12618;723;12619;7625288;
МОСКВА;crdlin200;80;0;2174502;0;0;-1;-1;-1;-1;-1;
МОСКВА;csrlin200;2321;85112503;400804;632;39;868;567;190;619;135099;
МОСКВА;forlin200;221;2682525;128000;13;39;1785;1616;228;1616;206348;
МОСКВА;hdclin200;2490;101289435;770523;396;20;1347;1225;169;1232;255781;
МОСКВА;hddlin200;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
МОСКВА;hdrlin200;167176;5004210133;39052232;64916;28;932;844;127;848;77164;
МОСКВА;hdtlin200;3471;146703049;788424;505;31;1683;1440;207;1485;290501;
МОСКВА;piplin200;4056;3152027055;3315570;2011;16;5515;5341;405;5342;1568173;
МОСКВА;rdclin200;3107;314806353;1140491;946;14;2009;1927;154;1931;333481;
МОСКВА;rdslin200;172214;6976645574;51276051;54056;20;1381;1307;138;1308;129267;
МОСКВА;rlflin200;32955;521426534;4423099;11811;20;704;639;85;644;44877;
МОСКВА;rlhlin200;686193;24019265923;128567502;239277;33;944;681;198;718;100523;
МОСКВА;rrslin200;12388;16761645423;5609401;4857;13;6483;6176;536;6179;3455297;
МОСКВА;veglin200;2189;64614543;837058;541;22;1423;1336;139;1339;119657;
