region;Name;PointsNumber;TotalArea;Length;BendNumber;AveAngle;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;
УСТЮГ;gphlin500;1151;73029669386;1500925;509;7;40679;36131;4726;36339;144613207;
УСТЮГ;hdclin500;76;10395904;44515;22;22;2093;1966;293;1966;472541;
УСТЮГ;hddlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;hdrlin500;110812;15239679392;22370147;54741;16;1642;1543;167;1545;287297;
УСТЮГ;hdtlin500;30;4363;2820;10;1;400;400;4;400;1091;
УСТЮГ;piplin500;24;73949276;40810;16;8;13088;12900;657;12899;4621830;
УСТЮГ;rdclin500;47;4239441;31806;14;5;2596;2574;122;2574;302817;
УСТЮГ;rdslin500;43369;23003963289;15663599;18433;12;3574;3413;320;3414;1260353;
УСТЮГ;rlflin500;98;11514064;30595;26;13;2064;1847;330;1850;442849;
УСТЮГ;rlhlin500;265739;27486561634;59610906;96206;18;1553;1305;234;1332;296306;
УСТЮГ;rrslin500;2792;5568317530;1638325;1321;9;10045;9690;689;9690;4228032;
УСТЮГ;veglin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;admlin500 Грозный;1239;1732695099;1329966;519;35;5389;4629;759;4704;3371002;
ГРОЗНЫЙ;comlin500;702;4192986756;1867702;338;21;13779;13152;1225;13168;12783496;
ГРОЗНЫЙ;crdlin500;8;0;450911;0;0;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;csrlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;forlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;gphlin500;44;729322400;112462;12;9;21941;16380;3516;17711;60776867;
ГРОЗНЫЙ;hdclin500;36;3403581;12865;10;15;2186;2064;280;2064;340358;
ГРОЗНЫЙ;hddlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;hdrlin500;23050;19188872388;14783583;8655;21;4498;4201;464;4213;2229709;
ГРОЗНЫЙ;hdtlin500;71;2894801;27031;21;19;1329;1212;132;1212;170282;
ГРОЗНЫЙ;piplin500;823;7043609309;1943206;353;13;19073;18463;1372;18469;20416259;
ГРОЗНЫЙ;rdclin500;218;107751830;135476;76;12;5415;5050;516;5055;1496553;
ГРОЗНЫЙ;rdslin500;18415;12821971014;12527820;6808;15;5058;4817;432;4822;1895059;
ГРОЗНЫЙ;rlflin500;351;34118186;128305;147;13;2093;2011;161;2017;232096;
ГРОЗНЫЙ;rlhlin500;125088;30654433220;50388366;39901;25;2680;2140;438;2215;769381;
ГРОЗНЫЙ;rrslin500;728;12346899540;721051;350;6;23386;22610;1628;22616;35377936;
ГРОЗНЫЙ;veglin500;1134;288648141;989942;550;11;4851;4752;180;4756;528660;
СУРГУТ;admlin500;502;310060007;285418;218;23;3572;3291;354;3303;1428848;
СУРГУТ;comlin500;335;1731828547;1016246;178;23;12635;11984;1194;11992;9784342;
СУРГУТ;crdlin500;8;0;497647;0;0;-1;-1;-1;-1;-1;
СУРГУТ;csrlin500;1109;333152929;496341;448;24;4890;4548;278;4578;762364;
СУРГУТ;forlin500;1463;1188835621;2136318;654;13;7706;7444;414;7453;1945721;
СУРГУТ;gphlin500;252;11752531123;661452;176;2;92234;92131;1184;92131;67157321;
СУРГУТ;hdclin500;16;829707;7460;5;19;2263;2169;180;2169;165941;
СУРГУТ;hddlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;hdrlin500;17343;2056053226;5004106;6401;23;1782;1556;260;1571;321711;
СУРГУТ;hdtlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;piplin500;833;6370445316;1481096;375;17;13920;13227;1312;13236;17124853;
СУРГУТ;rdclin500;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;rdslin500;5432;20893692620;3402465;2088;13;9087;8438;991;8441;10098450;
СУРГУТ;rlflin500;537;34910128;152258;119;12;1705;1575;221;1575;293362;
СУРГУТ;rlglin500-1;37195;6425917617;12344371;11338;21;2413;1952;398;2011;567410;
СУРГУТ;rlhlin500;37195;6425917617;12344371;11338;21;2413;1952;398;2011;567410;
СУРГУТ;rrslin500;481;4714941428;359894;172;7;23138;21559;2195;21559;27412450;
СУРГУТ;veglin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;admlin500;424;289820752;210530;202;20;3812;3513;447;3532;1471171;
УФА;comlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;crdlin500;14;0;716860;0;0;-1;-1;-1;-1;-1;
УФА;csrlin500;171;38609112;64153;52;30;2057;1592;399;1620;742483;
УФА;forlin500;956;301899934;1678601;431;6;7714;7622;159;7627;715403;
УФА;gphlin500;374;17476402959;666771;161;3;38471;36906;2724;36906;108549087;
УФА;hdclin500;184;148842195;73654;74;12;3842;3327;600;3328;2011381;
УФА;hddlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;hdrlin500;63923;7746981637;16712709;28893;18;1782;1658;192;1662;271671;
УФА;hdtlin500;187;74820916;106593;59;20;3782;3255;476;3347;1268151;
УФА;piplin500;993;5657032899;1639636;486;11;15612;15229;970;15230;11736583;
УФА;rdclin500;106;7925664;32785;26;12;2280;2009;238;2046;304833;
УФА;rdslin500;62510;28427292062;22128688;26505;12;3387;3241;292;3242;1084101;
УФА;rlflin500;438;138963496;123428;181;10;2294;2131;275;2136;785104;
УФА;rlhlin500;411517;40869558129;116205398;149368;24;1663;1349;267;1391;277003;
УФА;rrslin500;2585;6811969517;1021576;1097;10;9811;9415;722;9419;6249513;
УФА;veglin500;405;101767201;342220;145;18;3505;3327;297;3330;701843;
САЛЕХАРД;admlin500;417;976239057;435945;157;21;6923;6219;931;6245;6218083;
САЛЕХАРД;comlin500;43;56137020;98158;23;9;13647;13511;437;13511;2440740;
САЛЕХАРД;crdlin500;124;6471006483;890376;75;1;110462;110430;816;110430;86280086;
САЛЕХАРД;csrlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;forlin500;346;99035430;482205;142;4;7842;7781;155;7781;733596;
САЛЕХАРД;gphlin500;717;344186899334;1354034;410;2;101684;95873;9234;96272;839480242;
САЛЕХАРД;hdclin500;110;12359320;56831;32;14;2407;2245;249;2248;386229;
САЛЕХАРД;hddlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;hdrlin500;108078;11327729417;30794432;41300;22;1680;1500;230;1510;275145;
САЛЕХАРД;hdtlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;piplin500;76;265619086;120976;48;8;11417;11254;607;11254;5651470;
САЛЕХАРД;rdclin500;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;rdslin500;6668;13610891013;3605202;2998;11;7715;7376;663;7377;4544538;
САЛЕХАРД;rlflin500;865;84893346;283950;297;12;2222;2125;173;2127;287774;
САЛЕХАРД;rlhlin500;185513;21401593660;57806450;52604;26;1949;1397;389;1484;407548;
САЛЕХАРД;rrslin500;157;147286249;72664;45;12;6897;6252;917;6252;3273028;
САЛЕХАРД;veglin500;51;4162111;25797;12;28;2123;1805;322;1851;346843;
МОСКВА;admlin500 Москва;3782;1368045481;2022162;1634;32;2651;2226;435;2259;843431;
МОСКВА;comlin500;243;1888997264;435452;129;8;18712;18441;993;18447;14873994;
МОСКВА;crdlin500;8;0;541746;0;0;-1;-1;-1;-1;-1;
МОСКВА;csrlin500;50;12139360;32264;24;42;2509;2218;358;2222;505807;
МОСКВА;forlin500;1528;392541869;2079157;605;11;5547;5359;234;5371;771202;
МОСКВА;gphlin500;938;76074578947;2184706;250;9;54818;46807;8180;47224;304298316;
МОСКВА;hdclin500;123;35677725;61126;39;18;2384;2178;363;2178;964263;
МОСКВА;hddlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
МОСКВА;hdrlin500;69086;14613384649;22463026;28867;18;2047;1902;230;1906;513742;
МОСКВА;hdtlin500;302;32412072;115053;84;18;2165;1974;234;1991;410279;
МОСКВА;piplin500;1834;3906895052;2495117;984;19;7918;7593;685;7595;4103881;
МОСКВА;rdclin500;91;14742480;58327;45;5;4924;4905;125;4905;359573;
МОСКВА;rdslin500;49052;22369981582;23427255;19145;13;3641;3496;299;3497;1184913;
МОСКВА;rlflin500;382;39989556;126733;123;16;2137;1945;257;1955;330492;
МОСКВА;rlhlin500;162788;21381974613;50924831;54459;23;1921;1528;322;1582;398071;
МОСКВА;rrslin500;7500;26209492408;4469151;3521;9;10954;10556;788;10557;7514189;
МОСКВА;veglin500;4;0;2364;0;0;-1;-1;-1;-1;-1;
