region;Name;PointsNumber;TotalArea;Length;BendNumber;AveAngle;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;
ЯРОСЛАВЛЬ;admin500k;2357;820108395;1312839;950;29;2873;2417;483;2449;866007;
ЯРОСЛАВЛЬ;comlin500;146;1336423815;323273;84;11;19615;19389;950;19389;16499059;
ЯРОСЛАВЛЬ;crdlin500;8;0;505368;0;0;-1;-1;-1;-1;-1;
ЯРОСЛАВЛЬ;csrlin500;207;28513866;89863;100;31;1931;1723;238;1737;285139;
ЯРОСЛАВЛЬ;forlin500;1978;442250399;2445599;934;9;5582;5471;149;5480;498591;
ЯРОСЛАВЛЬ;gphlin500;921;76533837889;2226745;249;11;49141;41397;7590;41900;307364811;
ЯРОСЛАВЛЬ;hdclin500;105;35540167;59836;34;17;2598;2387;375;2387;1045299;
ЯРОСЛАВЛЬ;hddlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ЯРОСЛАВЛЬ;hdrlin500clip;1026;259430027;588287;407;76;2642;2443;141;2506;660127;
ЯРОСЛАВЛЬ;hdtlin500;175;17690706;74951;46;18;2215;2071;235;2071;421207;
ЯРОСЛАВЛЬ;piplin500;1321;2966385026;1831456;750;19;8369;8074;665;8075;4057982;
ЯРОСЛАВЛЬ;railway500k;5265;20614735891;3413076;2491;10;11016;10598;846;10600;8342669;
ЯРОСЛАВЛЬ;rdclin500;118;16922524;74876;53;5;4575;4556;123;4556;345358;
ЯРОСЛАВЛЬ;rdslin500clip;1813;78990187;786285;487;41;1673;1511;169;1539;166646;
ЯРОСЛАВЛЬ;rivers500k;49870;7665940882;17052403;20396;18;2070;1925;230;1929;381808;
ЯРОСЛАВЛЬ;rlflin500;638;60911573;226240;212;16;1973;1815;221;1826;288680;
ЯРОСЛАВЛЬ;rlhlin500;87011;10645444074;27471951;29864;25;1844;1462;308;1516;362053;
ЯРОСЛАВЛЬ;roads500k;42618;14849963962;19808627;16452;14;3260;3126;280;3128;914632;
ЯРОСЛАВЛЬ;veglin500;4;0;2364;0;0;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;admlin500;325;601836767;538133;165;33;5989;5277;836;5313;3647496;
ПЕТРОЗАВОДСК;comlin500;237;1512803145;468232;128;13;15037;14694;1030;14699;11911836;
ПЕТРОЗАВОДСК;crdlin500;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;csrlin500;227;210390774;160977;89;24;4484;4049;573;4071;2363941;
ПЕТРОЗАВОДСК;forlin500;4020;1105127258;6330496;1508;8;7410;7286;188;7289;756936;
ПЕТРОЗАВОДСК;gphlin500;1045;234177526194;1734898;334;13;74360;63531;10589;63730;701130318;
ПЕТРОЗАВОДСК;hdclin500;41;3570844;26232;11;21;2338;2250;213;2250;324622;
ПЕТРОЗАВОДСК;hddlin500;13776;6822562491;3486555;5785;12;3206;2961;332;2970;1199677;
ПЕТРОЗАВОДСК;hdrlin500;27512;7855674540;7516252;10407;17;2186;2005;269;2008;766333;
ПЕТРОЗАВОДСК;hdtlin500;393;98061065438;681158;175;3;58696;54496;7009;54530;563569342;
ПЕТРОЗАВОДСК;piplin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;rdclin500;112;16957250;54208;38;6;3406;3343;184;3343;446243;
ПЕТРОЗАВОДСК;rdslin500;36973;29124972779;12443880;15337;12;4278;4039;418;4040;1910586;
ПЕТРОЗАВОДСК;rlflin500;51;5225746;20299;19;11;2298;2225;150;2226;275039;
ПЕТРОЗАВОДСК;rlhlin500;46030;6739374604;11402837;14775;16;2000;1714;293;1740;466038;
ПЕТРОЗАВОДСК;rrslin500;2821;12044834579;1297785;1224;8;11182;10590;1028;10591;9889027;
ПЕТРОЗАВОДСК;veglin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ВОРОНЕЖ;admlin500;1640;870885433;957326;638;23;3443;2944;522;2981;1380167;
ВОРОНЕЖ;comlin500;98;527227196;291135;51;12;17347;17075;911;17075;10759739;
ВОРОНЕЖ;crdlin500;480;142500958;184130;195;23;2873;2573;322;2594;738347;
ВОРОНЕЖ;forlin500;322;97383925;532999;144;8;7475;7392;165;7392;681006;
ВОРОНЕЖ;gphlin500;477;65534443854;1153942;135;8;76919;69655;9958;69906;485440325;
ВОРОНЕЖ;hdclin500;29;3295429;31080;7;93;3350;1882;594;2475;470775;
ВОРОНЕЖ;hddlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ВОРОНЕЖ;hdrlin500clip;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ВОРОНЕЖ;hdtlin500;238;11452193;69394;37;13;1855;1582;196;1625;369426;
ВОРОНЕЖ;hrdlin500;23074;5330636211;8107037;8703;17;2544;2345;302;2349;616330;
ВОРОНЕЖ;piplin500;863;3469709877;1240027;411;17;12277;11828;963;11834;8567185;
ВОРОНЕЖ;rdclin500;56;2980883;18294;16;14;2247;2125;167;2137;186305;
ВОРОНЕЖ;rdslin500;30284;19397379650;16027750;11560;12;4378;4203;353;4205;1687903;
ВОРОНЕЖ;rdslin500clip;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ВОРОНЕЖ;rlflin500;1913;193891045;936483;658;14;2273;2177;211;2178;298294;
ВОРОНЕЖ;rlhlin500;95123;14657089600;31769181;29141;27;2133;1624;391;1697;506447;
ВОРОНЕЖ;rrslin500;2284;19788234661;1666046;858;9;16774;15770;1597;15772;23117097;
ВОРОНЕЖ;veglin500;436;79320519;433399;131;25;3600;3338;349;3357;610158;
РОСТОВ-ДОН;admlin500 Ростов-Дон;2239;2435852061;1471015;901;38;3986;3463;566;3501;2727718;
РОСТОВ-ДОН;comlin500;361;3106606432;1009906;200;13;20164;19789;1097;19789;15769576;
РОСТОВ-ДОН;crdlin500;8;0;5;0;0;-1;-1;-1;-1;-1;
РОСТОВ-ДОН;csrlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
РОСТОВ-ДОН;forlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
РОСТОВ-ДОН;gphlin500;378;20607802813;1276708;73;9;57198;47325;7349;48937;282298669;
РОСТОВ-ДОН;hdclin500;18;3360096;16615;7;9;5740;5677;213;5677;480014;
РОСТОВ-ДОН;hddlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
РОСТОВ-ДОН;hdrlin500;28602;4143929078;11491077;11253;28;2024;1797;266;1814;370921;
РОСТОВ-ДОН;hdtlin500;565;47791577;157287;201;17;1248;1146;110;1158;258333;
РОСТОВ-ДОН;piplin500;1322;5594368998;2497436;682;14;15849;15495;789;15501;8251282;
РОСТОВ-ДОН;rdclin500;106;3898117;32277;10;5;4333;4303;133;4303;433124;
РОСТОВ-ДОН;rdslin500;22061;11989312782;16979100;8625;20;4318;4116;342;4119;1408188;
РОСТОВ-ДОН;rlflin500;594;76422939;222942;218;20;2041;1847;249;1857;350564;
РОСТОВ-ДОН;rlhlin500;49060;13637070734;23643820;16302;25;3099;2464;470;2576;837401;
РОСТОВ-ДОН;rrslin500;2194;24623875015;1808053;1072;7;20034;19323;1310;19324;23012967;
РОСТОВ-ДОН;veglin500;4109;849919553;3816187;1827;10;4431;4331;176;4333;469051;
УСТЮГ;admlin500;1626;1503994561;1324658;779;35;4255;3828;498;3849;1933155;
УСТЮГ;comlin500;307;1520555157;193858;210;5;26646;26558;406;26558;7275384;
УСТЮГ;crdlin500;8;0;800337;0;0;-1;-1;-1;-1;-1;
УСТЮГ;csrlin500;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;forlin500;3813;2634618878;7658509;1793;9;10424;10249;261;10254;1475977;
