Region;Name;PointsNumber;BendNumber;AveAngle;TotalArea;Length;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
ПЕТРОЗАВОДСК500;rlflin500.shp;51;19;11;5225746;20299;2298;2225;150;2226;275039;5;3.800;0.543;5;
ПЕТРОЗАВОДСК500;rrslin500.shp;2821;1224;8;12044834579;1297785;11182;10590;1028;10591;9889027;27;3.222;0.460;27;
РОСТОВ-ДОН500;admlin500.shp;2239;901;38;2435852061;1471015;3986;3463;566;3501;2727718;24;3.083;0.771;24;
РОСТОВ-ДОН500;comlin500.shp;361;200;13;3106606432;1009906;20164;19789;1097;19789;15769576;15;3.467;0.433;15;
РОСТОВ-ДОН500;crdlin500.shp;8;0;0;0;5;NaN;NaN;NaN;NaN;NaN;4;4.500;0.750;4;
РОСТОВ-ДОН500;csrlin500.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
РОСТОВ-ДОН500;forlin500.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
РОСТОВ-ДОН500;gphlin500.shp;378;73;9;20607802813;1276708;57198;47325;7349;48937;282298669;13;3.077;0.769;13;
РОСТОВ-ДОН500;piplin500.shp;1322;682;14;5594368998;2497436;15849;15495;789;15501;8251282;55;3.418;0.285;55;
РОСТОВ-ДОН500;rdclin500.shp;106;10;5;3898117;32277;4333;4303;133;4303;433124;44;3.568;0.274;44;
РОСТОВ-ДОН500;rdslin500.shp;22061;8625;20;11989312782;16979100;4318;4116;342;4119;1408188;3648;3.013;0.251;3648;
РОСТОВ-ДОН500;rlflin500.shp;594;218;20;76422939;222942;2041;1847;249;1857;350564;46;3.174;0.453;46;
РОСТОВ-ДОН500;rrslin500.shp;2194;1072;7;24623875015;1808053;20034;19323;1310;19324;23012967;71;3.099;0.443;71;
САЛЕХАРД500;admlin500.shp;417;157;21;976239057;435945;6923;6219;931;6245;6218083;3;3.667;0.917;3;
САЛЕХАРД500;comlin500.shp;43;23;9;56137020;98158;13647;13511;437;13511;2440740;3;5.333;0.667;3;
САЛЕХАРД500;crdlin500.shp;124;75;1;6471006483;890376;110462;110430;816;110430;86280086;4;4.250;0.708;4;
САЛЕХАРД500;csrlin500.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
САЛЕХАРД500;forlin500.shp;346;142;4;99035430;482205;7842;7781;155;7781;733596;73;3.027;0.605;73;
САЛЕХАРД500;gphlin500.shp;717;410;2;344186899334;1354034;101684;95873;9234;96272;839480242;7;3.714;0.929;7;
САЛЕХАРД500;piplin500.shp;76;48;8;265619086;120976;11417;11254;607;11254;5651470;4;6.000;0.500;4;
САЛЕХАРД500;rdclin500.shp;2;0;0;0;556;NaN;NaN;NaN;NaN;NaN;1;13.000;1.000;1;
САЛЕХАРД500;rdslin500.shp;6668;2998;11;13610891013;3605202;7715;7376;663;7377;4544538;155;3.148;0.262;155;
САЛЕХАРД500;rlflin500.shp;865;297;12;84893346;283950;2222;2125;173;2127;287774;117;3.214;0.459;117;
САЛЕХАРД500;rrslin500.shp;157;45;12;147286249;72664;6897;6252;917;6252;3273028;2;6.000;0.857;2;
СУРГУТ500;admlin500.shp;502;218;23;310060007;285418;3572;3291;354;3303;1428848;1;4.000;1.000;1;
СУРГУТ500;comlin500.shp;335;178;23;1731828547;1016246;12635;11984;1195;11992;9784342;17;3.529;0.441;17;
СУРГУТ500;crdlin500.shp;8;0;0;0;497647;NaN;NaN;NaN;NaN;NaN;4;4.750;0.792;4;
СУРГУТ500;csrlin500.shp;1109;448;24;333152929;496341;4890;4548;278;4578;762364;1;11.000;1.000;1;
СУРГУТ500;forlin500.shp;1463;654;13;1188835621;2136318;7706;7444;414;7453;1945721;235;3.013;0.603;235;
СУРГУТ500;gphlin500.shp;252;176;2;11752531123;661452;92234;92131;1184;92131;67157321;4;4.000;1.000;4;
СУРГУТ500;piplin500.shp;833;375;17;6370445316;1481096;13920;13227;1312;13236;17124853;19;3.895;0.325;19;
СУРГУТ500;rdclin500.shp;2;0;0;0;1117;NaN;NaN;NaN;NaN;NaN;1;13.000;1.000;1;
СУРГУТ500;rdslin500.shp;5432;2088;13;20893692620;3402465;9087;8438;991;8441;10098450;232;3.095;0.258;232;
СУРГУТ500;rlflin500.shp;537;119;12;34910128;152258;1705;1575;221;1575;293362;72;3.236;0.462;72;
СУРГУТ500;rrslin500.shp;481;172;7;4714941428;359894;23138;21559;2195;21559;27412450;5;4.000;0.571;5;
УСТЮГ500;admlin500.shp;1626;779;35;1503994561;1324658;4255;3828;498;3849;1933155;7;3.143;0.786;7;
УСТЮГ500;comlin500.shp;307;210;5;1520555157;193858;26646;26558;406;26558;7275384;5;4.000;0.500;5;
УСТЮГ500;csrlin500.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
УСТЮГ500;forlin500.shp;3813;1793;9;2634618878;7658509;10424;10249;261;10254;1475977;659;3.003;0.601;659;
УСТЮГ500;gphlin500.shp;1151;509;7;73029669386;1500925;40679;36131;4726;36339;144613207;15;3.267;0.817;15;
УСТЮГ500;piplin500.shp;24;16;8;73949276;40810;13088;12900;657;12900;4621830;1;12.000;1.000;1;
УСТЮГ500;rdclin500.shp;47;14;5;4239441;31806;2596;2574;122;2574;302817;11;4.364;0.336;11;
УСТЮГ500;rdslin500.shp;43369;18433;12;23003963289;15663599;3574;3413;320;3414;1260353;3121;3.012;0.251;3121;
УСТЮГ500;rlflin500.shp;98;26;13;11514064;30595;2064;1847;330;1850;442849;11;3.727;0.532;11;
УСТЮГ500;rrslin500.shp;2792;1321;9;5568317530;1638325;10045;9690;689;9690;4228032;53;3.151;0.450;53;
УФА500;admlin500.shp;424;202;20;289820752;210530;3812;3513;447;3532;1471171;4;3.250;0.812;4;
УФА500;comlin500.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
УФА500;crdlin500.shp;14;0;0;0;716860;NaN;NaN;NaN;NaN;NaN;7;3.571;0.595;7;
УФА500;csrlin500.shp;171;52;30;38609112;64153;2058;1592;399;1620;742483;2;7.000;0.636;2;
УФА500;forlin500.shp;956;431;6;301899934;1678601;7714;7622;159;7627;715403;197;3.010;0.602;197;
УФА500;gphlin500.shp;374;161;3;17476402959;666771;38471;36906;2724;36906;108549087;10;3.400;0.850;10;
УФА500;piplin500.shp;993;486;11;5657032899;1639636;15612;15229;970;15230;11736583;40;3.500;0.292;40;
УФА500;rdclin500.shp;106;26;12;7925664;32785;2280;2009;238;2046;304833;11;5.000;0.385;11;
УФА500;rdslin500.shp;62510;26505;12;28427292062;22128688;3387;3241;292;3242;1084101;4893;3.007;0.251;4893;
УФА500;rlflin500.shp;438;181;10;138963496;123428;2294;2131;275;2136;785104;35;3.286;0.469;35;
УФА500;rrslin500.shp;2585;1097;10;6811969517;1021576;9811;9415;722;9419;6249513;43;3.163;0.452;43;
