region;Name;PointsNumber;TotalArea;Length;BendNumber;AveAngle;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;
УСТЮГ;admlin1000;2798;4252338013;3970819;1335;43;5431;4523;927;4586;3190051;
УСТЮГ;comlin1000;55;2035115564;198524;33;9;36399;35535;1925;35535;61670169;
УСТЮГ;crdlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;hdclin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;hddlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;hdrlin1000;17009;10925487929;11700878;6549;18;4471;4126;534;4134;1671842;
УСТЮГ;hdtlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;piplin1000;21;153558339;49062;7;11;15102;14468;1579;14468;21936905;
УСТЮГ;rdclin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УСТЮГ;rdslin1000;4531;5838380347;6957601;1849;21;6755;6369;727;6375;3157588;
УСТЮГ;rlflin1000;8;5075004;4936;3;21;3805;3353;697;3353;1691668;
УСТЮГ;rlhlin1000;63960;30780098073;39430268;16348;24;4167;2832;847;3074;1889393;
УСТЮГ;rrslin1000;598;2506600370;801647;266;9;17454;17045;931;17045;9423310;
УСТЮГ;veglin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;admlin1000;3018;3887322151;3749325;1391;34;5453;4745;779;4794;2794624;
ГРОЗНЫЙ;comlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;crdlin1000;56;229355813;417811;2;0;208905;208896;824;208896;114677906;
ГРОЗНЫЙ;hdclin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;hddlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ГРОЗНЫЙ;hdrlin1000;10083;11316536043;8738298;3751;15;6303;5954;607;5962;3020965;
ГРОЗНЫЙ;hdtlin1000;10;82608;6229;3;4;2076;2075;26;2075;27536;
ГРОЗНЫЙ;piplin1000;634;8426225964;1118615;309;8;22216;21494;1516;21494;27269340;
ГРОЗНЫЙ;rdclin1000;7;3232;1922;1;2;798;798;7;798;3231;
ГРОЗНЫЙ;rdslin1000;4344;5013013441;6379086;1566;17;7207;6852;674;6856;3201158;
ГРОЗНЫЙ;rlflin1000;49;10507794;30172;22;12;3044;2988;206;2988;500371;
ГРОЗНЫЙ;rlhlin1000;54866;19510295079;31485465;18571;26;3261;2579;537;2678;1056953;
ГРОЗНЫЙ;rrslin1000;500;26640530251;658642;270;6;33116;32012;2620;32012;98668631;
ГРОЗНЫЙ;veglin1000;245;238188507;502726;93;24;7813;7408;597;7423;2589005;
СУРГУТ;admlin1000surgut;345;6332092713;900867;161;52;11207;9432;2036;9536;39329768;
СУРГУТ;comlin1000;548;1874968460;922650;321;16;10091;9792;689;9795;5841023;
СУРГУТ;crdlin1000;80;411452219;417881;2;0;208940;208912;1477;208912;205726109;
СУРГУТ;hdclin1000;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;hddlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;hdrlin1000;26387;6876565254;13293046;9853;24;2728;2424;390;2437;699905;
СУРГУТ;hdtlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;piplin1000;1117;5198178840;1497459;590;12;12304;11936;882;11936;8810473;
СУРГУТ;rdclin1000;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;
СУРГУТ;rdslin1000;1289;4339258345;1854668;485;17;10466;9773;1163;9780;8946924;
СУРГУТ;rlflin1000;57;4720013;17727;21;18;1336;1231;193;1231;224762;
СУРГУТ;rlhlin1000;29215;14516956456;17000224;9167;22;3865;3069;646;3186;1588636;
СУРГУТ;rrslin1000;353;1606924312;348644;168;10;13584;12865;1210;12865;9565026;
СУРГУТ;veglin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;admlin1000;4014;4733184014;4955521;1797;49;4632;3557;950;3663;2633937;
УФА;comlin1000;243;2763662077;649768;132;8;21152;20772;1215;20772;20936834;
УФА;crdlin1000;68;294100802;393512;2;0;196755;196738;1121;196738;147050400;
УФА;hdclin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;hddlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
УФА;hdrlin1000;18269;9808768285;11285993;7210;20;3960;3624;486;3637;1363086;
УФА;hdtlin1000;66;73829753;75294;22;25;6107;4971;1086;5052;3355898;
УФА;piplin1000;819;9422402668;1755283;391;9;21113;20677;1297;20677;24098217;
УФА;rdclin1000;3;15106;558;1;35;557;540;55;540;15105;
УФА;rdslin1000;7083;6357658398;9052773;2611;17;6028;5726;598;5733;2435884;
УФА;rlflin1000;10;2502488;10048;3;8;6579;6463;268;6463;834162;
УФА;rlhlin1000;88962;32875545166;51991219;28393;26;3453;2603;604;2751;1164272;
УФА;rrslin1000;799;1758739245;853017;299;13;10099;9607;854;9621;5882071;
УФА;veglin1000;8;0;12400;0;0;-1;-1;-1;-1;-1;
САЛЕХАРД;admlin1000;2410;7757966623;2372956;867;33;5685;4766;883;4883;8948058;
САЛЕХАРД;comlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;crdlin1000;206;1316203391;895212;4;0;223803;223745;2195;223745;329050847;
САЛЕХАРД;hdclin1000;4;0;4647;0;0;-1;-1;-1;-1;-1;
САЛЕХАРД;hddlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;hdrlin1000;48155;13472638953;26034371;18944;24;2760;2473;388;2485;711934;
САЛЕХАРД;hdtlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;piplin1000;215;9169522579;651000;98;10;27559;26196;2902;26196;93566557;
САЛЕХАРД;rdclin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
САЛЕХАРД;rdslin1000;1476;8684721699;2343615;545;14;15429;14576;1442;14583;15935269;
САЛЕХАРД;rlflin1000;18;3652734;14971;7;9;3634;3587;160;3587;521819;
САЛЕХАРД;rlhlin1000;78346;27855069858;44248555;25380;26;3275;2478;589;2608;1098646;
САЛЕХАРД;rrslin1000;249;8836760175;445492;115;11;27659;26730;2259;26730;76841393;
САЛЕХАРД;veglin1000;12;6322380;15550;4;23;5001;4732;599;4732;1580595;
МОСКВА;admlin1000;9193;4682260316;6610859;4279;39;3038;2516;543;2551;1096805;
МОСКВА;comlin1000;137;1118794188;409816;79;16;16033;15611;1075;15610;14161952;
МОСКВА;crdlin1000;74;396873283;434834;2;0;217417;217394;1369;217394;198436641;
МОСКВА;hdclin1000;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;
МОСКВА;hddlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
МОСКВА;hdrlin1000;19083;8384212805;12354940;7524;21;3507;3183;473;3192;1115070;
МОСКВА;hdtlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
МОСКВА;piplin1000;2373;3725191169;1642382;1294;12;8373;8213;426;8213;2878819;
МОСКВА;rdclin1000;6;1543;1448;2;1;724;724;2;724;771;
МОСКВА;rdslin1000;9637;7539047088;13034826;3615;19;5904;5634;546;5640;2086067;
МОСКВА;rlflin1000;48;7157876;26161;17;13;2328;2222;239;2222;421051;
МОСКВА;rlhlin1000;51211;19290666055;29423495;16364;26;3318;2475;614;2612;1184130;
МОСКВА;rrslin1000;3279;7537676158;3403182;1538;11;8761;8474;658;8475;4907341;
МОСКВА;veglin1000;4;0;4136;0;0;-1;-1;-1;-1;-1;
