layer;number of intersections
admlin200;0
bldlin200;3
comlin200;301
crdlin200;12
csrlin200;2
forlin200;1499
hdclin200;5
hddlin200;0
hdrlin200;3819
hdtlin200;13
piplin200;255
rdclin200;8
rdslin200;7876
rlflin200;41
rlhlin200;94
rrslin200;104
veglin200;23
