layer;number of intersections
admlin1000;125
comlin1000;1
crdlin1000;0
hdclin1000;0
hddlin1000;0
hdrlin1000;594
hdtlin1000;0
piplin1000;18
rdclin1000;0
rdslin1000;893
rlflin1000;0
rlhlin1000;0
rrslin1000;88
veglin1000;0
