layer;number of intersections
admin200k;5
bldlin200;5
comlin200;194
crdlin200;12
csrlin200;1
forlin200;64
hdclin200;4
hddlin200;0
hdrlin200clip;90
hdtlin200;15
piplin200;62
railway200k;515
rdclin200;6
rdslin200clip;1318
rivers200k;9036
rlflin200;312
rlhlin200;223
roads200k;11461
veglin200;0
