layer;number of intersections
admlin200;2
bldlin200;7
comlin200;212
crdlin200;12
csrlin200;10
forlin200;4
hdclin200;8
hddlin200;0
hdrlin200;3990
hdtlin200;59
piplin200;336
rdclin200;14
rdslin200;29719
rlflin200;18
rlhlin200;1
rrslin200;197
veglin200;326
