layer;number of intersections
admlin1000;64
comlin1000;0
crdlin1000;0
hdclin1000;0
hddlin1000;0
hdrlin1000;498
hdtlin1000;0
piplin1000;11
rdclin1000;0
rdslin1000;307
rlflin1000;1
rlhlin1000;0
rrslin1000;5
veglin1000;5
