layer;number of intersections
admlin1000;76
comlin1000;0
crdlin1000;0
hdclin1000;0
hddlin1000;0
hdrlin1000;174
hdrlin1000clip;0
hdtlin1000;0
piplin1000;5
rdclin1000;0
rdslin1000;410
rdslin1000clip;0
rlflin1000;4
rlhlin1000;0
rrslin1000;17
veglin1000;0
