layer;number of intersections
admlin500;0
comlin500;0
crdlin500;2
csrlin500;0
forlin500;105
gphlin500;0
hdclin500;0
hddlin500;0
hdrlin500;902
hdtlin500;3
piplin500;22
rdclin500;0
rdslin500;2574
rlflin500;0
rlhlin500;47
rrslin500;27
veglin500;2
