layer;number of intersections
admin1000k;89
comlin1000;1
crdlin1000;0
hdclin1000;0
hddlin1000;0
hdrlin1000clip;4
hdtlin1000;0
piplin1000;12
railway1000k;44
rdclin1000-;0
rdslin1000clip;20
rivers1000k;550
rlflin1000;0
rlhlin1000;0
roads1000k;721
veglin1000;0
