layer;number of intersections
admlin200;0
bldlin200;0
comlin200;32
crdlin200;20
csrlin200;0
forlin200;2185
hdclin200;0
hddlin200;0
hdrlin200;837
hdtlin200;0
piplin200;155
rdclin200;0
rdslin200;1077
rlflin200;0
rlhlin200;1
rrslin200;10
veglin200;0
