layer;number of intersections
admlin500;0
comlin500;16
crdlin500;1
csrlin500;0
forlin500;92
gphlin500;0
hdclin500;0
hddlin500;0
hdrlin500;379
hdtlin500;0
piplin500;16
rdclin500;0
rdslin500;117
rlflin500;0
rlglin500-1;0
rlhlin500;0
rrslin500;2
veglin500;0
