layer;number of intersections
admlin1000;22
comlin1000;0
crdlin1000;0
hdclin1000;0
hddlin1000;0
hdrlin1000;690
hdtlin1000;0
piplin1000;0
rdclin1000;0
rdslin1000;299
rlflin1000;0
rlhlin1000;0
rrslin1000;7
veglin1000;0
