layer;number of intersections
admlin500 Ростов-Дон;2
comlin500;7
crdlin500;1
csrlin500;0
forlin500;0
gphlin500;0
hdclin500;0
hddlin500;0
hdrlin500;1075
hdtlin500;0
piplin500;53
rdclin500;0
rdslin500;1803
rlflin500;0
rlhlin500;4
rrslin500;62
veglin500;40
