layer;number of intersections
admlin500;3
comlin500;1
crdlin500;1
forlin500;57
gphlin500;0
hdclin500;0
hddlin500;0
hdrlin500clip;0
hdtlin500;0
hrdlin500;532
piplin500;16
rdclin500;0
rdslin500;1545
rdslin500clip;0
rlflin500;33
rlhlin500;24
rrslin500;49
veglin500;0
