layer;number of intersections
admlin1000;71
comlin1000;2
crdlin1000;0
hdclin1000;0
hddlin1000;0
hdrlin1000;380
hdtlin1000;0
piplin1000;22
rdclin1000;0
rdslin1000;491
rlflin1000;0
rlhlin1000;0
rrslin1000;12
veglin1000;0
