layer;number of intersections
admlin200;3
bldlin200;8
comlin200;142
crdlin200;12
csrlin200;5
forlin200;6
hdclin200;0
hddlin200;0
hdrlin200;1749
hdrlin200clip;0
hdtlin200;13
piplin200;66
rdclin200;0
rdslin200;9024
rlflin200;2611
rlhlin200;360
rrslin200;231
veglin200;104
