layer;number of intersections
admlin200;0
bldlin200;0
comlin200;3
crdlin200;35
csrlin200;0
forlin200;158
hdclin200;2
hdddlin200;0
hdrlin200;7042
hdtlin200;0
piplin200;6
rdclin200;0
rdslin200;408
rlflin200;0
rlhlin200;127
rrslin200;5
veglin200;43
