layer;number of intersections
admlin500 Москва;5
comlin500;3
crdlin500;1
csrlin500;0
forlin500;213
gphlin500;0
hdclin500;0
hddlin500;0
hdrlin500;2336
hdtlin500;1
piplin500;44
rdclin500;0
rdslin500;2808
rlflin500;0
rlhlin500;9
rrslin500;234
veglin500;0
