layer;number of intersections
admlin500;1
comlin500;1
crdlin500;0
csrlin500;0
forlin500;319
gphlin500;0
hdclin500;0
hddlin500;0
hdrlin500;892
hdtlin500;1
piplin500;0
rdclin500;0
rdslin500;753
rlflin500;0
rlhlin500;0
rrslin500;16
veglin500;0
