layer;number of intersections
admlin500;3
comlin500;0
crdlin500;1
csrlin500;0
forlin500;511
gphlin500;0
hdclin500;0
hddlin500;0
hdrlin500;1552
hdtlin500;0
piplin500;0
rdclin500;0
rdslin500;1439
rlflin500;0
rlhlin500;3
rrslin500;29
veglin500;0
