layer;number of intersections
admlin1000surgut;2
comlin1000;6
crdlin1000;0
hdclin1000;0
hddlin1000;0
hdrlin1000;732
hdtlin1000;0
piplin1000;16
rdclin1000;0
rdslin1000;29
rlflin1000;0
rlhlin1000;0
rrslin1000;1
veglin1000;0
