layer;number of intersections
admlin200;5
bldlin200;10
comlin200;132
crdlin200;16
csrlin200;6
forlin200;19
hdclin200;4
hddlin200;0
hdrlin200;10390
hdtlin200;42
piplin200;91
rdclin200;15
rdslin200;15985
rlflin200;701
rlhlin200;316
rrslin200;838
veglin200;0
