layer;number of intersections
admlin1000;94
comlin1000;0
crdlin1000;0
hdclin1000;0
hddlin1000;0
hdrlin1000;290
hdtlin1000;0
piplin1000;16
rdclin1000;0
rdslin1000;400
rlflin1000;0
rlhlin1000;0
rrslin1000;23
veglin1000;28
