layer;number of intersections
admlin500;0
comlin500;0
crdlin500;0
csrlin500;0
forlin500;37
gphlin500;0
hdclin500;0
hddlin500;0
hdrlin500;3728
hdrlin500Салехард;0
hdtlin500;0
piplin500;1
rdclin500;0
rdslin500;104
rlflin500;2
rlhlin500;1
rrslin500;1
veglin500;0
