layer;number of intersections
admlin1000;6
comlin1000;0
crdlin1000;0
hdclin1000;0
hddlin1000;0
hdrlin1000;1799
hdtlin1000;0
piplin1000;1
rdclin1000;0
rdslin1000;26
rlflin1000;0
rlhlin1000;0
rrslin1000;0
veglin1000;0
