layer;number of intersections
admlin200;1
bldlin200;0
comlin200;609
crdlin200;20
csrlin200;0
forlin200;9739
hdclin200;0
hddlin200;0
hdrlin200;3863
hdtlin200;0
piplin200;0
rdclin200;1
rdslin200;5194
rlflin200;3
rlhlin200;32
rrslin200;121
veglin200;0
