layer;number of intersections
admlin200;3
bldlin200;7
comlin200;330
crdlin200;16
csrlin200;0
forlin200;4185
hdclin200;0
hddlin200;0
hdrlin200;9563
hdtlin200;0
piplin200;0
rdclin200;0
rdslin200;8033
rlflin200;7
rlhlin200;85
rrslin200;173
veglin200;1
