layer;number of intersections
admlin200;3
bldlin200;2
comlin200;145
crdlin200;6
csrlin200;0
forlin200;13
hdclin200;2
hddlin200;0
hdrlin200;9327
hdtlin200;12
piplin200;557
rdclin200;1
rdslin200;12375
rlflin200;62
rlhlin200;564
rrslin200;70
veglin200;85
