layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin500;4;3;3.667;0.917;420248.807;417;91;5966066.879;4831.637;916.615;5604.879;0.0;0.0;70041.468;Line;542912086.0
admpol500;6;3;5.0;0.833;2182930.869;696;158;179463695.804;12910.848;2406.873;14967.943;105224320093.678;35074773364.559;727643.623;Polygon;28355263937.0
bldpnt500;9;188;0.048;0.005;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol500;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
blkpol500;9;25;4.2;0.467;48785.39;139;35;145827.114;146.457;349.171;1462.086;5021986.982;200879.479;1951.416;Polygon;5103949.0
comlin500;8;3;5.333;0.667;98158.289;43;7;3663932.714;15463.286;798.571;15803.286;0.0;0.0;32719.43;Line;25647529.0
compnt500;7;4;1.75;0.25;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
compol500;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
crdlin500;6;4;4.25;0.708;890376.422;118;1;314570297.0;218919.0;2141.0;219009.0;0.0;0.0;890376.422;Line;314570297.0
crdpol500;9;4;6.0;0.667;2729206.257;20;4;26281944795.75;0.0;167985.75;682301.75;105127779183.874;26281944795.969;682301.564;Polygon;105127779183.0
csrlin500;11;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
csrpnt500;11;13;0.846;0.077;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol500;13;3;8.333;0.641;8389.634;18;5;230979.4;570.8;311.0;1952.2;1051949.155;350649.718;2796.545;Polygon;1154897.0
forlin500;5;73;3.027;0.605;482205.001;302;56;990958.839;7847.268;230.964;7973.411;0.0;0.0;9455.0;Line;55493695.0
gdcpnt500;7;38;0.184;0.026;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
ghppol500;6;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
gndpnt500;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol500;6;3888;3.002;0.5;21710049.265;63858;16894;279776.791;951.017;311.704;1623.485;5164407054.664;1328293.996;5583.86;Polygon;4726549103.0
gphlin500;4;7;3.714;0.928;1354034.455;717;8;1848746821.0;154074.625;15937.875;169376.125;0.0;0.0;193433.494;Line;14789974568.0
gphpnt500;3;1;3.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdclin500;12;18;3.444;0.287;56831.436;98;18;477183.278;2464.111;310.944;2662.611;0.0;0.0;4735.953;Line;8589299.0
hdcpnt500;11;43;0.256;0.023;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol500;5;20;3.15;0.63;279704.272;925;190;545506.816;1428.942;276.658;1774.726;118326453.977;5916322.699;13985.214;Polygon;103646295.0
hddlin500;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hddpnt500;3;2;1.5;0.5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
