layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin200;4;1;4.0;1.0;265296.564;204;65;3000770.769;4826.908;539.692;5203.646;0.0;0.0;265296.564;Line;195050100.0
admpnt200;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
admpol200;7;2;6.0;0.857;1702634.686;414;132;395020020.72;11438.879;3140.28;14108.765;77832656879.742;38916328439.871;851317.343;Polygon;52142642735.0
bldlin200;4;5;3.2;0.8;1397.828;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
bldpnt200;9;1239;0.007;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol200;10;7;5.0;0.5;4514.55;37;9;19429.222;37.444;124.333;516.333;172685.406;24669.344;644.936;Polygon;174863.0
blkpol200;9;389;4.013;0.446;385385.329;2224;546;44599.031;107.861;174.947;748.159;23555472.81;60553.915;990.708;Polygon;24351071.0
comlin200;8;170;2.594;0.324;3825086.522;2306;578;5490050.543;7585.952;872.599;8048.394;0.0;0.0;23323.698;Line;3173249214.0
compnt200;7;8;0.875;0.125;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin200;6;49;2.449;0.408;2554662.833;1662;39;1584438.385;49932.59;45.462;49932.795;0.0;0.0;65504.175;Line;61793097.0
crdpol200;8;30;4.0;0.5;6281398.543;3318;80;571293031.95;55250.15;14718.413;79233.0;77738618994.815;2591287299.827;209379.951;Polygon;45703442556.0
csrlin200;10;9;4.0;0.4;9842.993;61;18;45198.444;301.5;148.444;640.833;0.0;0.0;1093.666;Line;813572.0
csrpnt200;11;1536;0.007;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol200;13;22;4.818;0.371;31597.279;265;42;66094.452;255.833;157.452;835.524;2768455.281;125838.876;1436.24;Polygon;2775967.0
forlin200;5;6744;2.999;0.6;15045361.146;2399;792;820075.731;3765.069;330.713;3966.016;0.0;0.0;20896.335;Line;649499979.0
gdcpnt200;7;722;0.01;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpnt;3;47;0.064;0.021;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdclin200;12;133;2.12;0.177;131016.601;256;69;61108.942;1145.087;94.522;1171.899;0.0;0.0;1985.1;Line;4216517.0
hdcpnt200;11;48;0.229;0.021;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol200;5;1;5.0;1.0;8229.945;26;5;495586.8;779.2;441.2;1786.0;1761200.991;1761200.991;8229.945;Polygon;2477934.0
hddlin200;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hddpnt200;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin200;8;2188;2.052;0.257;5734068.818;33466;10113;54256.142;590.537;113.276;695.865;0.0;0.0;2826.057;Line;548692367.0
hdrpnt200;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol200;14;5039;2.991;0.214;12509791.873;74446;14784;19745820.85;11996.355;314.906;12924.307;3716303786.179;737508.193;2482.594;Polygon;291922215440.0
hdtlin200;14;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdtpnt200;16;3;5.333;0.333;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtpol200;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
piplin200;12;208;3.091;0.258;3223709.895;3961;566;3850876.661;5880.68;648.666;6271.221;0.0;0.0;17520.162;Line;2179596190.0
pippnt200;7;38;0.184;0.026;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppnt200;9;29;0.31;0.034;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol200;14;98;4.908;0.351;440234.237;1231;415;264882.4;761.976;314.195;1348.706;159465622.566;1627200.23;4492.186;Polygon;109926196.0
rdclin200;14;24;4.208;0.301;41915.891;49;9;355706.333;4325.889;238.778;4439.111;0.0;0.0;5239.486;Line;3201357.0
rdcpnt200;14;168;0.083;0.006;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin200;12;2487;3.013;0.251;9407219.63;24205;4760;419642.198;1920.549;241.669;2080.094;0.0;0.0;4972.103;Line;1997496861.0
rdspnt200;10;2;5.0;0.5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin200;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
rlfpnt200;8;15;0.533;0.067;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol200;9;16;4.375;0.486;28633.943;211;47;55265.872;311.553;148.915;732.894;2970457.812;185653.613;1789.621;Polygon;2597496.0
