layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin200;4;12;3.083;0.771;1764451.949;4910;1655;270473.84;1169.959;263.906;1425.781;0.0;0.0;126032.282;Line;447634205.0
admpnt200;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
admpol200;7;9;5.222;0.746;5280518.715;14435;4216;2390919.16;1452.987;267.52;1714.125;71309695316.495;4456855957.281;330032.42;Polygon;10080115180.0
bldlin200;4;27633;2.647;0.662;7688558.037;9006;2915;15706.974;349.401;84.304;428.172;0.0;0.0;2700.582;Line;45785830.0
bldpnt200;9;40705;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol200;10;306;4.02;0.402;233489.49;1751;438;21584.553;69.792;123.29;564.308;9068211.941;29634.68;763.038;Polygon;9454034.0
blkpol200;9;12336;3.983;0.443;16113658.082;82093;20505;60925.851;211.009;192.417;862.866;1237075840.203;100265.508;1306.019;Polygon;1249284577.0
comlin200;8;468;2.534;0.317;7788947.372;5292;904;5035948.763;8945.261;684.237;9280.358;0.0;0.0;21051.209;Line;4552497682.0
compnt200;7;37;0.189;0.027;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin200;6;40;2.375;0.396;2174501.53;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
crdpol200;8;25;3.68;0.46;5437579.063;125;25;2853501544.56;0.0;60109.0;217503.12;71337538614.18;2853501544.567;217503.163;Polygon;71337538614.0
csrlin200;10;255;3.169;0.317;400201.801;2301;552;120670.674;499.315;192.567;846.475;0.0;0.0;1626.837;Line;66610212.0
csrpnt200;11;6784;0.002;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol200;13;668;4.376;0.337;1461346.022;7141;2084;95016.647;402.699;202.776;855.143;260852295.395;390497.448;2187.644;Polygon;198014693.0
forlin200;5;104;3.019;0.604;128000.328;37;12;221466.5;1653.75;243.667;1836.333;0.0;0.0;10666.694;Line;2657598.0
gdcpnt200;7;1365;0.005;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpnt200;3;6;0.5;0.167;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdclin200;12;811;2.088;0.174;770522.889;1318;313;199993.684;1088.121;158.974;1203.022;0.0;0.0;3424.546;Line;62598023.0
hdcpnt200;11;521;0.021;0.002;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol200;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hddlin200;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hddpnt200;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin200;8;24976;2.003;0.25;39052232.371;153626;49040;70798.086;764.098;128.018;857.793;0.0;0.0;2145.609;Line;3471938141.0
hdrpnt200;7;9;0.778;0.111;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol200;14;6353;3.0;0.214;13249469.151;83441;19914;4412295.469;1438.272;208.246;1973.568;1674094642.36;263512.457;2085.545;Polygon;87866451968.0
hdtlin200;14;1187;2.094;0.15;788423.804;1661;406;214546.899;1125.414;201.554;1407.665;0.0;0.0;2795.829;Line;87106041.0
hdtpnt200;16;162;0.099;0.006;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtpol200;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
piplin200;12;203;3.084;0.257;3315569.653;4016;800;1429422.429;4505.578;444.161;4748.238;0.0;0.0;18117.867;Line;1143537943.0
pippnt200;7;4;1.75;0.25;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppnt200;9;20;0.45;0.05;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol200;14;8445;4.666;0.333;31087913.998;126328;47658;91412.064;494.81;200.323;849.292;7108886778.432;841089.302;3678.173;Polygon;4356516158.0
rdclin200;14;744;3.132;0.224;1139912.329;2643;615;214653.628;1558.044;127.278;1631.683;0.0;0.0;2222.051;Line;132011981.0
rdcpnt200;14;2059;0.007;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin200;12;39468;2.961;0.247;51266921.757;145248;38205;117411.509;1199.536;137.268;1278.108;0.0;0.0;1972.336;Line;4485706712.0
rdspnt200;10;15;0.667;0.067;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin200;7;4403;2.984;0.426;4415736.923;31939;7500;36794.134;573.863;85.553;646.247;0.0;0.0;1132.531;Line;275956007.0
rlfpnt200;8;917;0.009;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol200;9;60;4.417;0.491;92530.969;827;128;66966.273;396.125;172.438;798.008;9719895.771;161998.263;1542.183;Polygon;8571683.0
rlhlin200;5;14288;1.991;0.398;128558396.445;683925;196664;86182.745;604.307;189.079;864.92;0.0;0.0;9757.012;Line;16949043335.0
rlhpnt200;7;962;0.007;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin200;7;1077;3.017;0.431;5606686.902;12076;1771;1471165.458;3056.147;334.802;3284.753;0.0;0.0;6074.417;Line;2605434027.0
rrspnt200;8;1052;0.008;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
veglin200;8;714;2.015;0.252;837058.134;1493;431;127752.958;1284.485;152.406;1387.429;0.0;0.0;2287.044;Line;55061525.0
vegpnt200;7;4908;0.001;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
