layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin500;4;7;3.143;0.786;948472.573;1640;381;1143471.551;2489.835;505.491;2994.462;0.0;0.0;118559.072;Line;435662661.0
admpol500;6;5;5.2;0.867;2844171.23;3283;771;24171573.89;3464.555;771.351;4210.25;54291691762.842;9048615293.807;474028.538;Polygon;18636283469.0
bldpnt500;9;406;0.022;0.002;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol500;10;8;4.75;0.475;12092.99;42;10;82690.1;153.9;313.7;1294.3;796577.232;99572.154;1511.624;Polygon;826901.0
blkpol500;9;15205;4.0;0.444;25521610.303;86636;21529;100550.537;249.314;266.028;1294.376;1929096145.204;126855.8;1678.28;Polygon;2164752514.0
comlin500;8;10;3.9;0.487;291134.993;98;19;18553394.368;17370.158;1548.211;17879.0;0.0;0.0;29113.499;Line;352514493.0
compnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
compol500;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
crdlin500;11;6;4.333;0.394;184130.085;478;101;487020.842;1861.752;300.02;2179.574;0.0;0.0;36826.017;Line;49189105.0
crdpol500;9;4;6.5;0.722;1891672.831;20;4;13574970259.25;0.0;105593.0;472918.25;54299881037.398;13574970259.35;472918.208;Polygon;54299881037.0
csrpnt500;11;247;0.045;0.004;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol500;13;11;6.364;0.49;231315.899;588;135;413967.541;1710.948;294.148;2050.948;504435937.589;45857812.508;21028.718;Polygon;55885618.0
forlin500;5;65;3.031;0.606;532998.788;314;69;828317.754;7482.348;223.014;7625.449;0.0;0.0;8737.685;Line;57153925.0
gdcpnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
ghppol500;6;2;6.0;1.0;317508.84;64;4;675455696.5;62748.25;13524.0;81144.5;2588529763.415;1294264881.707;158754.42;Polygon;2701822786.0
gndpnt500;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol500;7;126;4.032;0.576;595061.206;1790;422;299498.147;936.592;318.547;1655.116;137869133.422;1094199.472;4722.708;Polygon;126388218.0
gphlin500;4;14;3.286;0.822;1128848.588;477;20;390699548.9;44914.2;10119.6;56821.0;0.0;0.0;75256.573;Line;7813990978.0
gphpnt500;3;2;1.5;0.5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdclin500;13;10;4.4;0.338;31079.95;23;7;470775.571;1882.429;593.857;3350.714;0.0;0.0;4439.993;Line;3295429.0
hdcpnt500;12;12;1.0;0.083;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol500;6;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hddlin500;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hddpnt500;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin500clip;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdrpnt500;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol500;15;443;4.045;0.27;1576787.675;6912;1504;141854.303;799.078;201.7;1243.568;283938452.22;640944.587;3559.34;Polygon;213348871.0
hdtlin500;15;86;3.209;0.214;69393.867;112;26;255153.038;1598.5;165.577;1884.692;0.0;0.0;3017.125;Line;6633979.0
hdtpnt500;16;29;0.552;0.035;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtpol500;13;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hrdlin500;9;1006;3.095;0.344;8082241.412;23014;4327;435862.645;1904.615;269.173;2099.212;0.0;0.0;8230.388;Line;1885977667.0
piplin500;12;32;3.469;0.289;1240027.263;857;153;5735246.765;8840.471;945.059;9440.0;0.0;0.0;42759.561;Line;877492755.0
pippnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
pippol500;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
poppnt500;9;2;4.5;0.5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol500;14;1870;4.792;0.342;16908535.732;45696;20845;159689.996;725.572;273.563;1135.696;4990938475.267;2653343.155;8989.121;Polygon;3328737966.0
rdclin500;13;9;5.0;0.385;18294.139;48;8;262496.125;1834.75;234.5;2044.375;0.0;0.0;3658.828;Line;2099969.0
rdcpnt500;13;93;0.14;0.011;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin500;12;3166;3.012;0.251;15985969.093;29668;5089;999072.837;3112.122;312.806;3294.599;0.0;0.0;5585.594;Line;5084281666.0
rdslin500clip;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
rdspnt500;11;1;11.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin500;6;313;2.026;0.338;936482.901;1909;400;341774.278;2323.852;242.537;2443.597;0.0;0.0;3011.199;Line;136709711.0
rlfpnt500;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol500;8;5;4.2;0.525;16753.773;52;14;133325.643;583.571;214.0;1340.643;2025905.501;405181.1;3350.755;Polygon;1866559.0
rlhlin500;6;490;3.018;0.503;30980055.019;95121;19350;424391.301;1447.647;361.149;1922.16;0.0;0.0;46446.859;Line;8211971669.0
rlhpnt500;8;311;0.026;0.003;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin500;7;59;3.153;0.45;1666046.355;2278;163;10543361.301;9878.534;1002.288;10637.258;0.0;0.0;29750.828;Line;1718567892.0
rrspnt500;8;160;0.05;0.006;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
veglin500;9;130;3.046;0.338;433398.692;340;98;731717.684;3406.235;425.082;3743.367;0.0;0.0;5285.35;Line;71708333.0
vegpnt500;8;238;0.034;0.004;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
vegpol500;9;700;4.011;0.446;7581495.157;22300;6026;304679.557;1188.089;305.013;1622.289;5021664988.449;7153368.929;10799.851;Polygon;1835999011.0
vegpol500clip;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
