layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin200;4;7;3.143;0.786;996561.783;1891;590;538713.778;1817.061;374.775;2195.71;0.0;0.0;110729.087;Line;317841129.0
admpol200;7;5;5.4;0.771;2940349.635;3784;1182;15613156.828;2453.703;558.531;3001.805;54291361593.185;7755908799.026;420049.948;Polygon;18454751371.0
adnpnt200;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldlin200;4;30694;2.705;0.676;9842196.258;18504;5758;19877.499;391.056;90.241;493.464;0.0;0.0;1773.049;Line;114454638.0
bldpnt200;9;21669;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol200;10;54;4.111;0.411;52524.186;356;109;24519.936;138.872;127.257;547.495;2513954.633;46554.715;972.67;Polygon;2672673.0
blkpol_1200;9;4236;3.992;0.444;4780412.793;24902;5821;52256.645;135.17;192.778;874.084;293143644.518;69202.938;1128.52;Polygon;304185930.0
blkpol200;9;4236;3.992;0.444;4780412.793;24902;5821;52256.645;135.17;192.778;874.084;293143644.518;69202.938;1128.52;Polygon;304185930.0
comlin200;8;396;2.538;0.317;6370665.949;3986;898;5650866.811;7624.374;721.283;8009.875;0.0;0.0;21817.349;Line;5074478396.0
compnt200;7;12;0.583;0.083;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin200;6;31;2.484;0.414;1615732.382;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
crdpol200;8;20;3.95;0.494;4178696.899;100;20;2715218300.55;0.0;63593.05;208934.75;54304366010.779;2715218300.539;208934.845;Polygon;54304366011.0
csrlin200;10;41;3.39;0.339;293086.235;1162;373;145322.791;765.08;190.314;1027.697;0.0;0.0;7921.25;Line;54205401.0
csrpnt200;11;5398;0.002;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol200;13;580;4.324;0.333;1398512.361;5802;1635;116412.897;448.215;232.075;1024.048;643868573.624;1110118.23;2411.228;Polygon;190335087.0
forlin200;5;27;3.074;0.615;46692.837;9;3;12439.667;1660.0;15.0;1660.333;0.0;0.0;15564.279;Line;37319.0
