layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admin200k;4;11;3.091;0.773;1402993.639;4008;1346;247725.082;1141.515;251.221;1385.664;0.0;0.0;116916.137;Line;333437960.0
admpnt200;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
admpol200;7;7;5.286;0.755;3820589.345;8010;2703;4588215.707;1476.709;300.617;1765.683;61705743096.077;8815106156.582;545798.478;Polygon;12401947057.0
bldlin200;4;23071;2.677;0.669;6685611.681;7848;2525;18353.487;372.043;90.384;462.59;0.0;0.0;2715.521;Line;46342554.0
bldpnt200;8;20624;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol200;9;77;3.078;0.342;54944.513;400;87;26179.621;42.161;134.31;645.897;2242314.644;29120.969;713.565;Polygon;2277627.0
BLKPOL200YO;9;5273;3.99;0.443;5798047.595;30845;7465;49514.102;133.482;189.223;831.395;356497266.584;67608.054;1099.573;Polygon;369622774.0
comlin200;8;530;2.528;0.316;7621748.679;5020;1010;4118530.331;7954.646;619.192;8254.392;0.0;0.0;19150.122;Line;4159715634.0
compnt200;7;29;0.241;0.034;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin200;6;31;2.452;0.409;1721656.363;3;1;50714.0;63938.0;2.0;63938.0;0.0;0.0;1721656.363;Line;50714.0
crdpol200;8;20;3.75;0.469;4459465.521;102;22;2807495822.591;7051.909;55473.273;205609.318;61764857382.562;3088242869.128;222973.276;Polygon;61764908097.0
csrlin200;10;104;3.337;0.334;265614.82;1316;367;94843.886;617.101;177.349;896.373;0.0;0.0;2682.978;Line;34807706.0
csrpnt200;11;5393;0.002;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol200;13;368;4.503;0.346;909924.047;4139;1246;96404.945;461.127;208.897;904.805;335713859.147;912265.922;2472.62;Polygon;120120561.0
forlin200;5;292;3.007;0.601;363889.466;67;22;80308.682;1661.591;70.818;1701.636;0.0;0.0;16540.43;Line;1766791.0
gdcpnt200;7;1190;0.006;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpnt200;3;15;0.2;0.067;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdclin200;13;649;3.111;0.239;655327.198;1154;252;277974.548;1292.901;182.373;1418.226;0.0;0.0;3165.832;Line;70049586.0
hdcpnt200;12;373;0.032;0.003;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol200;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hddlin200;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hddpnt200;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin200clip;9;965;3.105;0.345;702804.616;3795;1292;23287.663;493.576;69.541;534.33;0.0;0.0;897.579;Line;30087660.0
hdrpnt200;8;4;2.0;0.25;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol200;15;5462;4.013;0.268;8967751.523;60966;14024;635194.847;640.054;160.36;1067.201;790852005.176;144712.169;1640.943;Polygon;8907972536.0
hdtlin200;15;651;3.18;0.212;384446.103;835;223;169571.085;943.238;182.987;1175.238;0.0;0.0;2448.701;Line;37814352.0
hdtpnt200;17;129;0.132;0.008;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtpol200;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
piplin200;12;128;3.172;0.264;2226705.084;2345;443;2132527.093;5448.553;548.655;5751.544;0.0;0.0;19362.653;Line;944709502.0
pippnt200;7;4;1.75;0.25;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppnt200;9;49;0.184;0.02;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol200;14;5517;4.756;0.34;20235869.569;77751;28865;102444.052;522.451;212.924;908.32;4050036335.906;733038.251;3662.601;Polygon;2957047557.0
railway200k;7;802;3.02;0.431;4051231.032;7622;1149;1799749.218;3370.801;350.323;3596.265;0.0;0.0;6261.563;Line;2067911852.0
rdclin200;14;383;3.167;0.226;579777.297;1212;289;181305.713;1588.931;112.218;1651.619;0.0;0.0;2328.423;Line;52397351.0
rdcpnt200;14;1425;0.01;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin200clip;12;5212;2.99;0.249;2705132.14;8335;2617;39364.9;658.617;90.05;715.561;0.0;0.0;1272.405;Line;103017944.0
rdspnt200;10;1;10.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rivers200k;9;21013;3.001;0.333;31444648.225;112242;35302;80562.285;814.825;135.749;916.532;0.0;0.0;2190.501;Line;2844009791.0
rlflin200;7;2381;2.995;0.428;2622769.063;17923;4039;47401.018;632.774;93.514;708.073;0.0;0.0;1226.74;Line;191452713.0
rlfpnt200;8;689;0.012;0.002;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol200;9;23;4.652;0.517;29112.222;263;47;49020.085;278.064;167.894;687.83;2730605.885;118721.995;1265.749;Polygon;2303944.0
