layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin200;4;18;3.111;0.778;1475718.827;2693;636;1190500.813;2423.072;422.843;2859.382;0.0;0.0;73785.941;Line;757158517.0
admpnt200;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
admpol200;7;7;5.286;0.755;3632171.2;4670;1169;7681462.798;3135.9;530.033;3680.827;50344271647.691;2961427743.982;213657.129;Polygon;8979630011.0
bldlin200;4;5070;2.862;0.716;1714203.037;3624;1041;26128.96;292.567;128.365;541.753;0.0;0.0;1717.638;Line;27200247.0
bldpnt200;10;125;4.056;0.406;82772.002;687;164;18366.616;54.305;131.5;536.47;2838939.446;22711.516;662.176;Polygon;3012125.0
bldpol200;10;125;4.056;0.406;82772.002;687;164;18366.616;54.305;131.5;536.47;2838939.446;22711.516;662.176;Polygon;3012125.0
blkpol200;9;6159;3.967;0.441;5706489.461;34521;7822;38506.042;78.868;173.671;765.001;288261194.966;46803.246;926.529;Polygon;301194263.0
comlin200;8;490;2.524;0.316;7706782.401;4632;1230;4380568.972;6790.434;768.537;7264.15;0.0;0.0;19760.981;Line;5388099836.0
compnt200;7;10;0.7;0.1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin200;6;17;2.706;0.451;1110724.66;474;10;2767607.7;69461.0;56.6;69461.2;0.0;0.0;111072.466;Line;27676077.0
crdpol200;8;12;3.833;0.479;3124303.787;968;24;1536224901.875;59312.125;30906.083;130915.958;50680623921.443;4223385326.787;260358.649;Polygon;36869397645.0
csrlin200;10;18;3.667;0.367;51882.432;196;41;315515.195;1105.561;253.634;1401.927;0.0;0.0;2730.654;Line;12936123.0
csrpnt200;11;3201;0.003;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol200;13;1173;4.084;0.314;1921977.528;9401;2755;70702.966;269.131;191.291;806.934;223231409.492;190146.005;1637.119;Polygon;194786671.0
forlin200;5;55;3.036;0.607;97014.547;24;8;704861.375;2163.5;590.75;2613.125;0.0;0.0;13859.221;Line;5638891.0
gdcpnt200;7;1262;0.006;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpnt200;3;2;1.5;0.5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdclin200;12;102;2.618;0.218;118535.345;455;114;64445.614;932.456;109.956;999.728;0.0;0.0;1743.167;Line;7346800.0
hdcpnt200;11;221;0.05;0.005;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol200;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hddlin200;4;1;4.0;1.0;109304.354;263;13;4957963.385;7679.615;966.615;8659.846;0.0;0.0;109304.354;Line;64453524.0
hddpnt200;3;9;0.333;0.111;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin200;8;17891;1.998;0.25;27774293.376;79736;19374;144616.696;1154.71;155.846;1267.927;0.0;0.0;2550.206;Line;2801803862.0
hdrpnt200;7;131;0.053;0.008;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol200;14;1907;3.034;0.217;10675333.428;62041;15300;5465021.295;7981.777;348.405;9095.545;31841781812.228;16697316.105;5597.972;Polygon;83614825813.0
hdtlin200;14;355;2.127;0.152;960930.917;2067;368;802128.247;2132.603;351.057;2540.739;0.0;0.0;5586.808;Line;295183195.0
hdtpnt200;16;2;8.0;0.5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtpol200;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
piplin200;12;796;3.024;0.252;4941756.345;6312;1221;2204191.927;3947.152;347.451;4144.308;0.0;0.0;7881.589;Line;2691318343.0
pippnt200;7;5;1.4;0.2;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppnt200;9;184;0.049;0.005;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol200;14;893;5.129;0.366;5757491.189;20148;8883;104819.815;575.866;211.302;901.626;1600664662.917;1770646.751;6368.906;Polygon;931114421.0
rdclin200;14;134;3.515;0.251;430516.397;536;92;949356.065;4175.804;303.5;4342.891;0.0;0.0;6150.234;Line;87340758.0
rdcpnt200;14;977;0.014;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin200;12;24052;2.975;0.248;31069864.901;68065;16450;225944.111;1534.922;179.169;1650.183;0.0;0.0;3061.674;Line;3716780624.0
rdspnt200;10;32;0.312;0.031;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin200;7;1517;3.004;0.429;2390701.561;10300;2507;72761.932;961.71;112.118;1032.639;0.0;0.0;1691.933;Line;182414163.0
rlfpnt200;8;1207;0.007;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol200;9;427;4.047;0.45;1806996.834;8164;2497;75898.753;645.744;132.606;899.54;206521670.856;478059.423;4182.863;Polygon;189519185.0
rlhlin200;5;23947;2.006;0.401;145511724.708;714067;208835;91878.955;645.293;175.521;909.8;0.0;0.0;6210.223;Line;19187541493.0
rlhpnt200;7;438;0.016;0.002;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin200;7;114;3.105;0.444;803623.896;1023;149;8717196.342;5232.336;506.107;5495.215;0.0;0.0;8831.032;Line;1298862255.0
rrspnt200;8;143;0.056;0.007;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
