layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin1000;4;43;3.07;0.767;3813932.58;3672;1102;3192696.744;3784.902;778.667;4612.907;0.0;0.0;84754.057;Line;3518351812.0
admpol1000;11;20;5.7;0.518;8880040.276;7305;2201;5109126.687;4309.174;851.845;5252.51;89155247907.304;3876315126.405;386088.708;Polygon;11245187837.0
bldpnt1000;9;52;0.173;0.019;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
blkpol1000;9;36;4.139;0.46;242487.041;363;111;655092.982;1529.505;546.144;2679.369;72061062.531;2001696.181;6735.751;Polygon;72715321.0
comlin1000;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
compnt1000;7;1;7.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin1000;6;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
crdpol1000;8;1;8.0;1.0;1252104.492;5;1;89056744387.0;0.0;231720.0;1252104.0;89056744387.466;89056744387.466;1252104.492;Polygon;89056744387.0
csrpnt1000;11;13;0.846;0.077;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol1000;13;2;9.0;0.692;153230.868;139;37;3158891.351;4334.054;954.135;5281.027;465680669.198;232840334.599;76615.434;Polygon;116878980.0
gndpnt1000;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol1000;6;1639;3.001;0.5;17172475.027;28751;6743;935470.428;2052.069;493.746;3027.058;7579388782.572;4624398.281;10477.41;Polygon;6307877098.0
hdclin1000;12;3;6.333;0.528;3655.707;4;1;3365.0;781.0;24.0;785.0;0.0;0.0;3655.707;Line;3365.0
hdcpnt1000;11;221;0.05;0.005;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol1000;5;1;5.0;1.0;11680.466;18;3;2010844.333;2961.333;291.667;4191.667;6211215.298;6211215.298;11680.466;Polygon;6032533.0
hddlin1000;4;41;2.073;0.518;1628632.854;2341;369;2320554.808;3960.005;701.211;4959.285;0.0;0.0;39722.753;Line;856284724.0
hddpnt1000;3;41;0.073;0.024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin1000;8;2682;2.029;0.254;14677950.827;23481;5854;813754.39;2525.217;411.35;2833.027;0.0;0.0;6390.053;Line;4763718201.0
hdrpnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol1000;14;2450;3.05;0.218;20542709.302;53207;13012;3336951.152;3674.904;494.858;4735.82;35163766561.398;14352557.78;8384.779;Polygon;43420408396.0
hdtlin1000;14;4;5.25;0.375;387624.247;146;5;1367885014.6;69767.0;11675.0;77770.4;0.0;0.0;96906.062;Line;6839425073.0
hdtpnt1000;15;23;0.652;0.043;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
piplin1000;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
pippnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppnt1000;11;358;0.031;0.003;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol1000;14;80;4.675;0.334;507658.877;824;267;560388.824;1264.202;522.434;2357.416;187976353.417;2349704.418;6345.736;Polygon;149623816.0
rdclin1000;13;22;3.5;0.269;78382.703;241;24;152319.542;3189.625;90.125;3218.958;0.0;0.0;4125.405;Line;3655669.0
rdcpnt1000;13;4;3.25;0.25;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin1000;16;673;3.065;0.192;7944221.703;6790;1518;2568576.942;5398.168;637.928;5765.1;0.0;0.0;13419.293;Line;3899099798.0
rdspnt1000;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin1000;7;2;5.0;0.714;7373.9;12;2;1121673.5;3418.0;480.5;3687.0;0.0;0.0;3686.95;Line;2243347.0
rlfpnt1000;8;88;0.091;0.011;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol1000;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
rlhlin1000;5;2009;2.006;0.401;30447774.499;58504;11167;1147626.31;2165.189;637.253;3210.202;0.0;0.0;15155.687;Line;12815543006.0
rlhpnt1000;7;101;0.069;0.01;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin1000;7;24;3.292;0.47;1061570.358;901;85;10016129.6;12497.6;1083.553;13164.929;0.0;0.0;62445.315;Line;851371016.0
rrspnt1000;8;33;0.242;0.03;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
subject1000;9;3;9.0;1.0;2333059.795;935;271;202087791.653;7775.041;1951.428;9918.063;89189231411.093;29729743803.698;777686.598;Polygon;54765791538.0
veglin1000;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
vegpnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
