layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin200;4;4;3.25;0.812;217888.352;366;130;526345.0;1901.646;327.8;2179.192;0.0;0.0;54472.088;Line;68424850.0
admpnt200;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
admpol200;7;5;5.4;0.771;1468344.943;741;263;58026992.76;5862.019;836.802;6641.251;63488512997.073;12697702599.415;293668.989;Polygon;15261099096.0
bldlin200;4;13682;2.784;0.696;4427952.873;7040;2283;20237.542;388.584;99.841;481.042;0.0;0.0;2002.692;Line;46202308.0
bldpnt200;9;13537;0.001;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol200;10;89;4.045;0.404;82859.972;509;124;21784.839;115.556;180.306;721.565;2326357.706;26138.851;931.011;Polygon;2701320.0
blkpol200;9;5525;3.969;0.441;4930570.348;31787;7343;33757.012;90.561;163.222;708.805;238617223.036;43188.638;892.411;Polygon;247877738.0
comlin200;8;834;2.514;0.314;9917099.824;6696;1748;4224486.042;6101.317;594.946;6422.328;0.0;0.0;15210.276;Line;7384401602.0
compnt200;7;23;0.304;0.043;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin200;6;31;2.452;0.409;1747212.983;229;7;1601522.571;36266.714;43.0;36267.0;0.0;0.0;249601.855;Line;11210658.0
crdpol200;8;20;3.55;0.444;4527014.31;530;28;2278552477.929;30634.464;43615.393;162092.643;63594006284.426;3179700314.221;226350.716;Polygon;63799469382.0
csrlin200;10;30;3.467;0.347;164741.9;491;126;362858.794;1236.881;283.143;1579.595;0.0;0.0;6336.227;Line;45720208.0
csrpnt200;11;3892;0.003;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol200;13;258;4.543;0.349;666113.683;2651;725;169191.768;548.841;216.661;1076.081;485558034.174;1867530.901;2561.976;Polygon;122664032.0
