layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin1000surgut;4;6;3.333;0.833;900866.928;345;126;48560950.524;9243.968;2421.476;11381.04;0.0;0.0;150144.488;Line;6118679766.0
admpol1000;11;4;7.25;0.659;2973787.06;690;256;180394833.957;12528.82;3228.895;15655.926;77754765553.579;19438691388.395;743446.765;Polygon;46181077493.0
bldpnt1000;9;127;0.071;0.008;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
blkpol1000;9;5;5.0;0.556;78398.483;88;38;801497.763;1996.0;525.684;2836.158;39613354.244;7922670.849;15679.697;Polygon;30456915.0
comlin1000;8;18;3.333;0.417;894119.254;548;100;7252489.94;9909.53;858.83;10287.4;0.0;0.0;47058.908;Line;725248994.0
compnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin1000;6;2;4.0;0.667;417880.839;80;2;205726110.0;208913.0;1478.0;208940.0;0.0;0.0;208940.42;Line;411452220.0
crdpol1000;8;2;6.0;0.75;1589902.083;86;3;26035539474.667;139162.333;102258.333;530080.0;77696163177.192;38848081588.596;794951.041;Polygon;78106618424.0
csrpnt1000;11;95;0.116;0.011;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol1000;13;2;10.5;0.808;443149.984;505;137;7303242.277;3704.197;626.723;4377.672;6517259777.513;3258629888.757;221574.992;Polygon;1000544192.0
gndpnt1000;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol1000;6;605;3.005;0.501;15587368.493;27908;6569;1468103.894;2665.441;666.66;3735.548;14559627643.861;24065500.238;25764.245;Polygon;9643974478.0
hdclin1000;12;1;12.0;1.0;1293.749;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdcpnt1000;11;1;11.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol1000;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hddlin1000;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hddpnt1000;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin1000;8;1697;2.065;0.258;13293045.793;26191;6935;549431.198;1993.368;371.839;2305.46;0.0;0.0;8313.349;Line;3810305356.0
hdrpnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtlin1000;14;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdtpnt1000;15;12;1.25;0.083;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
piplin1000;12;52;3.231;0.269;1497458.686;1099;175;6634538.88;8886.023;776.377;9261.297;0.0;0.0;34824.621;Line;1161044304.0
pippnt1000;7;7;1.0;0.143;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppnt1000;11;76;0.145;0.013;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol1000;14;9;6.333;0.452;107556.027;146;54;732293.667;1710.759;533.833;2651.648;58138070.683;6459785.631;11950.67;Polygon;39543858.0
rdclin1000;13;1;13.0;1.0;362.17;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
rdcpnt1000;13;4;3.25;0.25;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin1000;16;71;3.282;0.205;1837575.621;1283;253;5929577.688;7666.016;936.277;8264.443;0.0;0.0;26631.531;Line;1500183155.0
rdspnt1000;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin1000;7;5;4.6;0.657;17726.967;57;14;279943.786;1362.786;237.357;1493.929;0.0;0.0;3545.393;Line;3919213.0
rlfpnt1000;8;101;0.079;0.01;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol1000;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
rlhlin1000;5;159;2.038;0.408;17000223.911;29215;5655;1380966.247;2783.915;625.275;3588.42;0.0;0.0;106919.647;Line;7809364125.0
rlhpnt1000;7;79;0.089;0.013;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin1000;7;6;4.0;0.571;348643.636;351;30;5612119.5;11755.667;952.767;12312.8;0.0;0.0;69728.727;Line;168363585.0
rrspnt1000;8;15;0.533;0.067;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
subject1000;9;2;9.0;1.0;1730503.494;596;185;284789072.022;8585.265;2532.259;10720.259;77832586250.586;38916293125.293;865251.747;Polygon;52685978324.0
veglin1000;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
vegpnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
