layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin500;4;7;3.143;0.786;1250679.991;1626;388;2377857.845;3497.954;662.142;4122.552;0.0;0.0;113698.181;Line;922608844.0
admpol500;6;5;5.2;0.867;3607006.723;3256;787;11413998.706;4700.621;804.783;5474.51;72665386832.028;8073931870.225;400778.525;Polygon;8982816982.0
bldpnt500;9;250;0.036;0.004;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol500;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
blkpol500;9;5121;4.001;0.445;7566230.014;27340;6347;98037.049;148.952;285.767;1253.527;597429555.41;116662.674;1477.491;Polygon;622241150.0
comlin500;8;5;4.0;0.5;193858.189;307;12;5981596.583;16230.083;473.167;16385.917;0.0;0.0;38771.638;Line;71779159.0
compnt500;7;2;3.5;0.5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
compol500;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
crdlin500;5;4;3.5;0.7;800336.816;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
crdpol500;9;4;6.5;0.722;2214263.785;20;4;18146253621.75;0.0;107061.75;553566.0;72585014486.18;18146253621.545;553565.946;Polygon;72585014487.0
csrlin500;11;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
csrpnt500;11;74;0.149;0.014;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol500;13;1;13.0;1.0;2997.793;12;4;137087.75;423.0;94.0;908.0;479924.303;479924.303;2997.793;Polygon;548351.0
forlin500;5;659;3.003;0.601;7658509.377;3605;692;2759678.487;10471.223;510.594;10862.73;0.0;0.0;13799.116;Line;1909697513.0
gdcpnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
ghppol500;6;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
gndpnt500;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol500;6;603;3.005;0.501;3686014.922;11106;2573;319444.573;1032.822;320.282;1701.243;939244751.994;1557619.821;6112.794;Polygon;821930886.0
gphlin500;4;15;3.267;0.817;1476327.143;1151;26;426792913.115;46771.923;10486.5;57610.308;0.0;0.0;86842.773;Line;11096615741.0
gphpnt500;3;2;1.5;0.5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdclin500;12;17;3.118;0.26;44514.678;72;17;533537.353;2120.353;337.412;2268.294;0.0;0.0;2967.645;Line;9070135.0
hdcpnt500;11;13;0.846;0.077;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol500;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hddlin500;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hddpnt500;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin500;8;2287;2.107;0.263;22370147.024;110562;18750;222352.261;1217.403;160.832;1332.794;0.0;0.0;10346.969;Line;4169104885.0
hdrpnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol500;14;170;3.124;0.223;1996648.175;8097;1403;789441.588;2433.36;266.742;2868.408;2235322304.071;13148954.73;11744.989;Polygon;1107586548.0
hdtlin500;14;10;3.4;0.243;2820.088;30;10;436.9;282.0;1.6;282.1;0.0;0.0;282.009;Line;4369.0
hdtpnt500;15;41;0.366;0.024;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtpol500;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
piplin500;12;1;12.0;1.0;40810.111;24;3;6078800.667;14164.333;577.0;14485.667;0.0;0.0;40810.111;Line;18236402.0
pipol500;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
pippnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppnt500;9;13;0.692;0.077;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol500;14;1797;4.888;0.349;6565215.572;19044;6450;194967.896;648.859;323.879;1244.179;1420411117.957;789995.06;3651.399;Polygon;1257542927.0
rdclin500;13;11;4.364;0.336;31806.068;43;9;450460.889;3246.889;172.444;3279.444;0.0;0.0;3534.008;Line;4054148.0
rdcpnt500;13;39;0.333;0.026;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin500;12;3121;3.012;0.251;15646302.251;42463;5789;785411.775;2649.067;275.656;2805.393;0.0;0.0;5853.461;Line;4546748768.0
rdspnt500;11;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin500;7;11;3.727;0.532;30595.314;96;12;683800.583;2201.0;444.333;2531.25;0.0;0.0;3059.531;Line;8205607.0
rlfpnt500;8;2;4.0;0.5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol500;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
rlhlin500;5;973;2.012;0.402;59610905.938;265739;45140;287635.49;1234.938;241.801;1510.15;0.0;0.0;61265.063;Line;12983866033.0
rlhpnt500;7;411;0.017;0.002;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin500;7;53;3.151;0.45;1601433.521;2792;210;3756678.438;7505.976;690.143;7919.41;0.0;0.0;29116.973;Line;788902472.0
rrspnt500;8;88;0.091;0.011;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
veglin500;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
vegpnt500;7;8;0.875;0.125;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
vegpol500;8;244;3.029;0.379;36678077.618;115628;29892;5305131.633;9131.493;365.175;9675.485;109185512073.02;447481606.857;150319.99;Polygon;158580994774.0
