layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin1000;4;90;3.033;0.758;2359006.728;2408;588;8576591.48;4149.862;953.759;5217.93;0.0;0.0;24831.65;Line;5043035790.0
admpol1000;11;83;4.145;0.377;4930231.42;2690;711;45905790.661;7174.578;1617.577;8811.266;102779287729.374;1238304671.438;59400.379;Polygon;32639017160.0
bldpnt1000;9;101;0.089;0.01;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
blkpol1000;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
comlin1000;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
compnt1000;7;5;1.4;0.2;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin1000;6;4;3.25;0.542;895211.808;206;4;329050848.0;223745.5;2195.5;223803.0;0.0;0.0;223802.952;Line;1316203392.0
crdpol1000;8;3;6.0;0.75;2281683.608;213;5;21280658233.6;178436.0;135242.0;456897.4;105099078798.316;35033026266.105;760561.203;Polygon;106403291168.0
csrpnt1000;11;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol1000;13;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
gndpnt1000;3;11;0.273;0.091;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol1000;6;1288;3.004;0.501;13745659.232;18354;6833;763289.668;1715.932;522.28;2636.075;5816949187.337;4516264.897;10672.096;Polygon;5215558300.0
hdclin1000;12;2;7.5;0.625;4646.513;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdcpnt1000;11;3;3.667;0.333;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol1000;5;9;3.222;0.644;538460.902;475;149;2553805.597;3503.577;886.597;4686.02;615760746.577;68417860.731;59828.989;Polygon;380517034.0
hddlin1000;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hddpnt1000;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin1000;8;4149;2.045;0.256;26034371.071;47517;12931;580656.182;2090.267;379.172;2397.758;0.0;0.0;6797.486;Line;7508465095.0
hdrpnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtlin1000;14;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdtpnt1000;15;17;0.882;0.059;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
piplin1000;12;9;4.222;0.352;651000.148;213;30;84727248.333;22030.5;2774.333;23343.4;0.0;0.0;81375.019;Line;2541817450.0
pippnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppnt1000;11;43;0.256;0.023;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol1000;14;1;14.0;1.0;14702.03;15;6;774948.0;2441.0;441.5;3366.5;6754317.158;6754317.158;14702.03;Polygon;4649688.0
rdclin1000;13;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
rdcpnt1000;13;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin1000;16;67;3.224;0.202;2337288.889;1472;197;13204893.807;12028.685;1291.513;12803.797;0.0;0.0;35413.468;Line;2601364080.0
rdspnt1000;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin1000;7;2;5.0;0.714;14971.167;18;4;502564.75;3977.75;151.75;4034.75;0.0;0.0;7485.584;Line;2010259.0
rlfpnt1000;8;105;0.076;0.009;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol1000;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
rlhlin1000;5;1069;2.021;0.404;44248555.262;78346;17705;1001400.894;2271.808;575.199;3073.343;0.0;0.0;41392.475;Line;17729802832.0
rlhpnt1000;7;120;0.058;0.008;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin1000;7;4;4.25;0.607;445492.387;247;32;45830158.0;14253.25;1123.719;14908.438;0.0;0.0;148497.462;Line;1466565056.0
rrspnt1000;8;1;8.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
subject1000;9;1;9.0;1.0;2464715.668;2435;526;187730831.156;2970.143;1295.221;5082.029;102806260407.291;1318028979.581;31598.919;Polygon;98746417188.0
veglin1000;8;3;4.0;0.5;15549.988;12;3;1842467.333;4840.667;703.333;5183.333;0.0;0.0;5183.329;Line;5527402.0
vegpnt1000;7;28;0.25;0.036;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
