layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin500;2;1;2.0;1.0;902839.226;5;1;50671583711.0;0.0;213165.0;902839.0;50671583711.225;50671583711.225;902839.226;Polygon;50671583711.0
admlin500 Грозный;4;10;3.2;0.8;1307703.42;1237;360;3356615.353;3872.6;759.044;4700.372;0.0;0.0;31895.205;Line;1208381527.0
admpol500;6;7;5.143;0.857;3473362.388;2322;678;15800667.827;5207.224;999.001;6337.013;50594236508.529;4599476046.23;315760.217;Polygon;10712852787.0
bldpnt500;9;2219;0.004;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol500;10;1;10.0;1.0;1570.932;5;1;114693.0;0.0;182.0;1571.0;114692.705;114692.705;1570.932;Polygon;114693.0
blkpol500;9;3561;4.002;0.445;5520539.217;18829;4258;113208.642;122.369;275.114;1350.603;463833880.893;130253.828;1550.278;Polygon;482042397.0
comlin500;8;61;3.164;0.396;1843171.063;692;166;14442680.331;12058.084;1538.187;12978.801;0.0;0.0;32336.334;Line;2397484935.0
compnt500;7;1;7.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
compol500;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
crdlin500;6;4;4.5;0.75;450911.127;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
crdpol500;9;4;6.75;0.75;1804671.446;20;4;12669688377.75;0.0;99992.75;451167.75;50678753511.44;12669688377.86;451167.861;Polygon;50678753511.0
csrlin500;11;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
csrpnt500;11;538;0.02;0.002;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol500;13;106;4.509;0.347;409393.037;750;218;436192.683;714.147;503.243;2108.587;91537387.135;863560.256;3862.198;Polygon;95090005.0
forlin500;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
gdcpnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
ghppol500;6;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
gndpnt500;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol500;6;152;3.059;0.51;4889031.388;8289;2607;951141.439;2825.932;451.671;3578.856;7422885071.901;48834770.21;32164.68;Polygon;2479625732.0
