layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin500;2;1;2.0;1.0;1008883.14;5;1;62183322523.0;0.0;219619.0;1008883.0;62183322523.047;62183322523.047;1008883.14;Polygon;62183322523.0
admlin500 Ростов-Дон;4;24;3.083;0.771;1333764.314;2237;594;1711545.859;2251.564;490.66;2782.719;0.0;0.0;47634.44;Line;1016658240.0
admpol500;6;23;4.217;0.703;3208621.742;3600;1034;22780590.965;2967.964;725.283;3730.21;60211118893.285;2315812265.126;123408.529;Polygon;23555131058.0
bldpnt500;9;2144;0.004;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol500;10;8;4.875;0.487;11670.674;40;8;115554.625;0.0;367.0;1458.875;924437.848;115554.731;1458.834;Polygon;924437.0
blkpol500;9;10046;4.001;0.445;17715737.229;55354;12937;124055.508;186.045;315.663;1449.743;1512917422.834;150598.987;1763.462;Polygon;1604906109.0
comlin500;8;15;3.467;0.433;1009906.44;361;64;21437540.312;17834.297;1520.297;18503.266;0.0;0.0;67327.096;Line;1372002580.0
compnt500;7;1;7.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
compol500;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
crdlin500;6;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
crdpol500;9;4;6.75;0.75;2019626.877;20;4;15549380042.75;0.0;94436.0;504906.75;62197520170.325;15549380042.581;504906.719;Polygon;62197520171.0
csrlin500;11;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
csrpnt500;11;241;0.046;0.004;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol500;13;8;5.875;0.452;34680.875;86;30;240153.0;735.8;299.633;1380.367;7387087.358;923385.92;4335.109;Polygon;7204590.0
forlin500;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
gdcpnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
ghppol500;6;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
gndpnt500;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol500;6;220;3.018;0.503;963155.844;2221;626;325142.639;887.907;370.366;1906.668;228409919.345;1038226.906;4377.981;Polygon;203539292.0
gphlin500;4;13;3.077;0.769;1237598.397;378;21;506108311.571;47499.333;11174.381;59920.381;0.0;0.0;82506.56;Line;10628274543.0
gphpnt500;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdclin500;12;3;6.333;0.528;16614.637;16;2;420891.0;7601.0;254.0;7681.0;0.0;0.0;8307.319;Line;841782.0
hdcpnt500;11;20;0.55;0.05;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol500;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hddlin500;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hddpnt500;3;14;0.214;0.071;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin500;8;2420;2.042;0.255;11491076.891;27682;7605;314307.975;1451.73;271.957;1716.755;0.0;0.0;5862.794;Line;2390312153.0
hdrpnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol500;14;980;3.062;0.219;9189088.933;29210;7238;2213938.178;2503.344;318.457;3221.078;29962068196.399;30573538.976;9376.621;Polygon;16024484533.0
hdtlin500;14;136;2.103;0.15;157286.658;529;131;226926.008;1038.695;113.405;1194.084;0.0;0.0;1332.938;Line;29727307.0
hdtpnt500;15;23;0.652;0.043;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtpol500;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
piplin500;12;55;3.418;0.285;2493846.047;1312;247;7660050.097;10819.336;971.166;11431.502;0.0;0.0;48898.942;Line;1892032374.0
pippnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
pippol500;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
poppnt500;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol500;14;1608;4.709;0.336;11810457.006;28888;11635;221147.015;864.696;305.546;1343.944;4256852384.332;2644007.692;7335.688;Polygon;2573045514.0
rdclin500;13;44;3.568;0.274;32277.003;28;5;420092.8;3154.2;157.2;3194.6;0.0;0.0;6455.401;Line;2100464.0
rdcpnt500;13;69;0.188;0.014;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin500;12;3648;3.013;0.251;16959060.913;20667;5139;925458.926;3184.97;368.516;3438.098;0.0;0.0;5739.107;Line;4755933422.0
rdspnt500;11;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin500;7;46;3.174;0.453;222941.633;590;136;323842.397;1606.934;270.184;1844.382;0.0;0.0;5066.855;Line;44042566.0
rlfpnt500;8;93;0.086;0.011;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol500;9;1;9.0;1.0;1320.682;8;1;115958.0;0.0;228.0;1321.0;115958.07;115958.07;1320.682;Polygon;115958.0
rlhlin500;5;188;2.064;0.413;23643820.15;49060;10952;681091.6;2030.172;432.909;2627.065;0.0;0.0;125765.001;Line;7459315203.0
rlhpnt500;7;235;0.03;0.004;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin500;7;71;3.099;0.443;1808053.217;2190;176;12561785.239;10172.585;797.284;10646.642;0.0;0.0;26203.67;Line;2210874202.0
rrspnt500;8;156;0.051;0.006;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
veglin500;8;803;2.009;0.251;3816186.648;3835;764;746457.923;4606.107;275.254;4794.787;0.0;0.0;5730.01;Line;570293853.0
vegpnt500;7;27;0.259;0.037;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
vegpol500;8;539;3.019;0.377;5304410.278;10817;3548;510307.811;1290.896;426.901;1986.982;3428754279.249;6361325.193;9841.206;Polygon;1810572115.0
