layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin1000;4;93;3.022;0.755;3935241.998;2798;1084;3153627.806;3956.842;975.298;4935.756;0.0;0.0;38962.792;Line;3418532542.0
admpol1000;11;41;5.439;0.494;8976151.129;5490;2182;4412193.788;4458.031;1073.945;5588.067;72605357397.511;1481741987.704;183186.758;Polygon;9627406845.0
bldpnt1000;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
blkpol1000;9;2;6.5;0.722;18968.948;31;11;718856.636;1317.273;674.091;2339.364;8599654.91;4299827.455;9484.474;Polygon;7907423.0
comlin1000;8;1;8.0;1.0;198524.262;55;7;39447285.571;30534.0;1812.429;31462.571;0.0;0.0;198524.262;Line;276130999.0
compnt1000;7;2;3.5;0.5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin1000;6;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
crdpol1000;8;1;8.0;1.0;1105618.032;5;1;72554209945.0;0.0;223683.0;1105618.0;72554209945.153;72554209945.153;1105618.032;Polygon;72554209945.0
csrpnt1000;11;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol1000;13;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
gbdpnt1000;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol1000;6;66;3.045;0.507;763015.454;1087;366;777515.866;1636.544;559.607;2634.757;384072661.458;5819282.749;11560.84;Polygon;284570807.0
hdclin1000;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdcpnt1000;11;8;1.375;0.125;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol1000;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hddlin1000;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdpnt1000;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin1000;8;833;2.095;0.262;11700878.271;16943;3584;1359684.931;3386.405;494.108;3746.819;0.0;0.0;14626.098;Line;4873110791.0
hdrpnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol1000;14;26;3.462;0.247;289429.948;561;132;854546.417;1949.205;512.144;2982.924;307016645.66;11808332.525;11131.921;Polygon;112800127.0
hdtlin1000;14;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdtpol1000;15;16;0.938;0.063;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
piplin1000;12;1;12.0;1.0;41660.641;21;4;5848918.25;11002.25;503.25;11237.0;0.0;0.0;20830.321;Line;23395673.0
pippnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppnt1000;11;721;0.015;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol1000;14;45;5.089;0.364;393827.357;659;245;592825.2;1367.853;532.531;2134.886;191334968.522;4251888.189;8751.719;Polygon;145242174.0
rdclin1000;13;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
rdcpnt1000;13;3;4.333;0.333;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin1000;16;648;3.039;0.19;6940481.601;4405;1209;3043667.732;5993.538;762.686;6421.728;0.0;0.0;11823.648;Line;3679794288.0
rdspnt1000;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin1000;7;1;7.0;1.0;4935.819;8;1;3360301.0;3902.0;1227.0;4936.0;0.0;0.0;4935.819;Line;3360301.0
rlfpnt1000;8;90;0.089;0.011;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol1000;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
rlhlin1000;5;629;2.014;0.403;39430268.084;63960;12588;1577939.247;2579.483;761.301;3754.651;0.0;0.0;62687.231;Line;19863099239.0
rlhpnt1000;7;98;0.071;0.01;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin1000;7;18;3.389;0.484;801646.971;598;44;15871423.636;18175.364;1374.818;18892.023;0.0;0.0;44535.943;Line;698342640.0
rrspnt1000;8;26;0.308;0.038;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
subject1000;9;5;9.0;1.0;3565002.255;2107;614;15083562.015;5939.42;1069.137;6967.601;72658677558.906;9082334694.863;445625.282;Polygon;9261307077.0
veglin1000;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
vegpnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
