layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin500;4;4;3.25;0.812;210529.93;424;84;898264.774;2613.262;388.071;2939.94;0.0;0.0;52632.483;Line;75454241.0
admpol500;6;5;5.2;0.867;1453628.014;857;175;85113612.663;8574.897;1122.971;9573.446;63490021925.801;12698004385.16;290725.603;Polygon;14894882216.0
bldpnt500;9;390;0.023;0.003;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol500;10;33;4.182;0.418;39274.524;175;44;59874.364;116.205;211.136;954.273;2497787.8;75690.539;1190.137;Polygon;2634472.0
blkpol500;9;10770;4.001;0.445;14559809.176;57652;13435;79611.194;130.718;271.195;1140.788;1020302760.593;94735.632;1351.886;Polygon;1069576389.0
comlin500;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
compnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
compol500;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
crdlin500;6;7;3.571;0.595;716860.377;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
crdpol500;9;6;5.167;0.574;2466293.802;30;6;10597504320.333;0.0;146342.167;411049.167;63585025922.095;10597504320.349;411048.967;Polygon;63585025922.0
csrlin500;11;2;7.0;0.636;64152.679;171;36;874718.861;1607.083;409.278;2115.611;0.0;0.0;32076.34;Line;31489879.0
csrpnt500;11;77;0.143;0.013;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol500;13;11;6.182;0.476;168085.622;343;85;1358202.435;1719.506;433.788;2279.918;145211492.303;13201044.755;15280.511;Polygon;115447207.0
forlin500;5;197;3.01;0.602;1678600.702;882;177;1328452.927;8559.051;283.797;8749.678;0.0;0.0;10491.254;Line;235136168.0
gdcpnt500;7;1;7.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
ghppol500;6;1;6.0;1.0;6604.221;7;1;1556425.0;0.0;1046.0;6604.0;1556425.464;1556425.464;6604.221;Polygon;1556425.0
gndpnt500;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol500;6;315;3.013;0.502;1104241.647;5230;1153;148148.673;714.813;225.395;1113.665;211592591.047;671722.511;3505.529;Polygon;170815420.0
gphlin500;4;10;3.4;0.85;666771.274;374;18;241427753.944;34314.111;4739.944;37244.889;0.0;0.0;66677.127;Line;4345699571.0
gphpnt500;3;1;3.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdclin500;12;19;2.947;0.246;73654.053;178;20;986793.8;3037.45;396.05;3286.35;0.0;0.0;4603.378;Line;19735876.0
hdcpnt500;11;21;0.524;0.048;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol500;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hddlin500;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hddpnt500;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin500;8;1655;2.12;0.265;16712709.156;63891;13559;208027.619;1301.131;184.388;1439.743;0.0;0.0;10196.894;Line;2820646490.0
hdrpnt500;7;3;2.333;0.333;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol500;14;377;3.093;0.221;3169796.591;14512;2542;460761.605;1693.676;222.934;2020.877;1334182935.819;3538946.779;8407.949;Polygon;1171256001.0
hdtlin500;14;24;2.583;0.185;106593.226;165;32;1515990.094;3187.281;631.969;3764.469;0.0;0.0;8199.479;Line;48511683.0
hdtpnt500;15;33;0.455;0.03;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtpol500;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
piplin500;12;40;3.5;0.292;1639636.391;983;122;14025224.09;14091.926;1107.738;14658.148;0.0;0.0;46846.754;Line;1711077339.0
pippnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
pippol500;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
poppnt500;9;13;0.692;0.077;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol500;14;2131;4.852;0.347;9442612.346;41244;16615;72681.192;557.128;184.716;778.359;2008163699.547;942357.438;4431.071;Polygon;1207598000.0
rdclin500;13;11;5.0;0.385;32784.706;104;15;329267.133;1835.933;284.133;2274.0;0.0;0.0;3278.471;Line;4939007.0
rdcpnt500;13;36;0.361;0.028;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin500;12;4893;3.007;0.251;22114642.135;61064;8948;635951.405;2434.069;250.437;2580.166;0.0;0.0;5296.92;Line;5690493176.0
rdspnt500;11;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin500;7;35;3.286;0.469;123428.374;438;52;829343.442;2224.269;316.25;2453.75;0.0;0.0;3526.525;Line;43125859.0
rlfpnt500;8;77;0.104;0.013;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol500;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
rlhlin500;5;2550;2.012;0.402;116205397.65;411517;89025;263556.086;1231.406;273.099;1571.235;0.0;0.0;45570.744;Line;23463080546.0
rlhpnt500;7;392;0.018;0.003;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin500;7;43;3.163;0.452;1021576.137;2581;250;2270497.928;4016.82;438.404;4331.184;0.0;0.0;24916.491;Line;567624482.0
rrspnt500;8;75;0.107;0.013;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
veglin500;8;94;2.064;0.258;342220.49;357;77;1121942.117;3640.221;463.429;3947.662;0.0;0.0;4888.864;Line;86389543.0
vegpnt500;7;7;1.0;0.143;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
