layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin200;4;3;3.333;0.833;551949.302;570;195;1025500.113;3154.385;467.477;3526.031;0.0;0.0;275974.651;Line;199972522.0
admpnt200;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
admpol200;7;3;5.667;0.81;2356019.947;1148;393;116118888.209;5622.611;1188.242;6759.595;89191012111.194;29730337370.398;785339.982;Polygon;45634723066.0
bldlin200;4;1616;2.934;0.734;411863.865;1199;395;10403.628;295.339;65.005;343.066;0.0;0.0;1075.363;Line;4109433.0
bldpnt200;9;5556;0.002;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol200;10;50;4.12;0.412;38028.174;313;85;17725.847;95.918;114.271;496.965;1389503.475;27790.069;760.563;Polygon;1506697.0
blkpol200;9;2431;3.992;0.444;2080958.894;14567;3548;26863.492;118.57;132.141;634.887;89328928.607;36745.754;856.009;Polygon;95311671.0
comlin200;8;1600;2.509;0.314;12303948.761;27756;4946;668091.698;2616.043;260.186;2758.598;0.0;0.0;10035.847;Line;3304381536.0
compnt200;7;9;0.778;0.111;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin200;6;49;2.327;0.388;2727092.654;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
crdpol200;8;30;3.467;0.433;6706362.434;150;30;2971194813.133;0.0;54847.5;223545.4;89135844392.829;2971194813.094;223545.414;Polygon;89135844394.0
csrlin200;10;98;3.306;0.331;241830.89;1010;225;521618.111;984.667;245.151;1275.822;0.0;0.0;2467.662;Line;117364075.0
csrpnt200;11;903;0.012;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol200;13;88;5.068;0.39;306609.543;1180;311;400043.26;768.659;238.338;1205.325;438570071.601;4983750.814;3484.199;Polygon;124413454.0
forlin200;5;33765;2.942;0.588;39537090.511;5789;1995;318354.799;1951.583;283.584;2158.195;0.0;0.0;22735.532;Line;635117825.0
gdcpnt200;7;1455;0.005;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpnt200;3;124;0.024;0.008;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdclin200;12;401;2.105;0.175;285350.919;524;139;27445.446;682.388;61.122;705.086;0.0;0.0;2229.304;Line;3814917.0
hdcpnt200;11;311;0.035;0.003;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol200;5;5;3.6;0.72;30759.212;242;140;17328.993;237.057;73.693;328.436;4111380.673;822276.135;6151.842;Polygon;2426059.0
hddlin200;4;182;2.038;0.509;3138361.071;11158;1948;519214.209;1507.789;276.093;1851.663;0.0;0.0;17532.743;Line;1011429279.0
hddpnt200;3;248;0.012;0.004;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin200;8;8690;2.022;0.253;12587886.94;59129;19166;51375.677;613.68;108.793;697.476;0.0;0.0;2174.449;Line;984666225.0
hdrpnt200;7;129;0.054;0.008;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtlin200;14;16;3.625;0.259;25035.556;69;15;139042.333;1270.133;196.8;1668.733;0.0;0.0;2781.728;Line;2085635.0
hdtpnt200;16;53;0.302;0.019;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtpol200;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
piplin200;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
pippnt200;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppnt200;9;177;0.051;0.006;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol200;14;1123;4.907;0.35;3383914.391;16977;6062;65121.967;435.145;161.116;721.233;583683706.656;519753.969;3013.281;Polygon;394769362.0
rdclin200;14;357;3.165;0.226;537091.964;1409;303;150240.155;1588.766;109.422;1630.218;0.0;0.0;2011.58;Line;45522767.0
rdcpnt200;14;1706;0.008;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin200;12;11798;3.004;0.25;29120363.429;109626;24219;143813.997;1232.515;151.571;1324.925;0.0;0.0;2909.999;Line;3483031185.0
rdspnt200;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin200;7;280;3.021;0.432;335054.333;1650;412;66818.752;749.461;109.524;839.17;0.0;0.0;1390.267;Line;27529326.0
rlfpnt200;8;281;0.028;0.004;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol200;9;125;4.088;0.454;287418.56;2126;841;21522.977;300.93;78.259;443.574;23016081.111;184128.649;2299.348;Polygon;18100824.0
rlhlin200;5;8245;2.004;0.401;35070195.992;327530;78181;37032.252;409.362;102.112;545.133;0.0;0.0;4254.543;Line;2895218457.0
rlhpnt200;7;289;0.024;0.003;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin200;7;206;3.049;0.436;1730062.037;4091;571;1039801.529;3080.879;314.786;3267.494;0.0;0.0;9251.669;Line;593726673.0
rrspnt200;8;207;0.039;0.005;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
veglin200;8;31;2.194;0.274;41739.037;112;28;153178.143;1304.071;181.393;1420.714;0.0;0.0;1669.561;Line;4288988.0
vegpnt200;7;1271;0.006;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
