Region;Name;PointsNumber;TotalArea;TotalPerimetr;AveArea;AvePerimetr;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
УСТЮГ500;blkpol500.shp;27340;634187660;7566230;123841;1477;5121;4,001;0,445;5121;
УФА500;blkpol500.shp;57652;1086981481;14560391;100927;1352;10770;4,001;0,445;10770;
ВОРОНЕЖ1000;blkpol1000.shp;965;578315884;773209;9638598;12887;60;4,083;0,454;60;
ГРОЗНЫЙ1000;blkpol1000.shp;189;220337578;150722;31476797;21532;7;4,714;0,524;7;
МОСКВА1000;blkpol1000.shp;2570;1617887088;2056132;9245069;11749;175;4,029;0,448;175;
ПЕТРОЗАВОДСК1000;blkpol1000.shp;363;91193553;242487;2533154;6736;36;4,139;0,46;36;
РОСТОВ-ДОН1000;blkpol1000.shp;928;633344772;762570;11515359;13865;55;4,091;0,455;55;
САЛЕХАРД1000;blkpol1000.shp;0;0;0;0;0;0;0;0;0;
СУРГУТ1000;blkpol1000.shp;88;75292599;78398;15058520;15680;5;5;0,556;5;
УСТЮГ1000;blkpol1000.shp;31;15093222;18969;7546611;9484;2;6,5;0,722;2;
УФА1000;blkpol1000.shp;166;85878498;133785;5725233;8919;15;4,333;0,481;15;
ВОРОНЕЖ500;compol500.shp;0;0;0;0;0;0;0;0;0;
ГРОЗНЫЙ500;compol500.shp;0;0;0;0;0;0;0;0;0;
МОСКВА500;compol500.shp;0;0;0;0;0;0;0;0;0;
ПЕТРОЗАВОДСК500;compol500.shp;0;0;0;0;0;0;0;0;0;
РОСТОВ-ДОН500;compol500.shp;0;0;0;0;0;0;0;0;0;
САЛЕХАРД500;compol500.shp;0;0;0;0;0;0;0;0;0;
СУРГУТ500;compol500.shp;0;0;0;0;0;0;0;0;0;
УСТЮГ500;compol500.shp;0;0;0;0;0;0;0;0;0;
УФА500;compol500.shp;0;0;0;0;0;0;0;0;0;
ВОРОНЕЖ200;crdpol200.shp;100;54304366011;4178697;2715218301;208935;20;3,95;0,494;20;
ГРОЗНЫЙ200;crdpol200.shp;968;50700555855;3124304;4225046321;260359;12;3,833;0,479;12;
МОСКВА200;crdpol200.shp;125;71337538614;5437579;2853501545;217503;25;3,68;0,46;25;
ПЕТРОЗАВОДСК200;crdpol200.shp;150;89135844393;6706362;2971194813;223545;30;3,467;0,433;30;
РОСТОВ-ДОН200;crdpol200.shp;100;62199424030;4461792;3109971202;223090;20;3,8;0,475;20;
САЛЕХАРД200;crdpol200.shp;5046;105233404586;9209837;2192362596;191872;48;3,604;0,451;48;
СУРГУТ200;crdpol200.shp;3318;77737092975;6281399;2591236433;209380;30;4;0,5;30;
УСТЮГ200;crdpol200.shp;125;72597329978;5524095;2903893199;220964;25;4,24;0,53;25;
УФА200;crdpol200.shp;530;63614677892;4527014;3180733895;226351;20;3,55;0,444;20;
ВОРОНЕЖ500;crdpol500.shp;20;54299881037;1891673;13574970259;472918;4;6,5;0,722;4;
ГРОЗНЫЙ500;crdpol500.shp;20;50678753511;1804671;12669688378;451168;4;6,75;0,75;4;
МОСКВА500;crdpol500.shp;20;71328143464;2172055;17832035866;543014;4;6,5;0,722;4;
ПЕТРОЗАВОДСК500;crdpol500.shp;10;89079324051;1691564;44539662026;845782;2;7,5;0,833;2;
РОСТОВ-ДОН500;crdpol500.shp;20;62197520170;2019627;15549380043;504907;4;6,75;0,75;4;
САЛЕХАРД500;crdpol500.shp;20;105127779184;2729206;26281944796;682302;4;6;0,667;4;
СУРГУТ500;crdpol500.shp;20;77705872098;2167316;19426468025;541829;4;6,5;0,722;4;
УСТЮГ500;crdpol500.shp;20;72585014486;2214264;18146253622;553566;4;6,5;0,722;4;
УФА500;crdpol500.shp;30;63585025922;2466294;10597504320;411049;6;5,167;0,574;6;
ВОРОНЕЖ1000;crdpol100.shp;66;54534868881;1333823;27267434440;666912;2;6,5;0,812;2;
ГРОЗНЫЙ1000;crdpol1000.shp;62;50905404201;1320650;25452702100;660325;2;6,5;0,812;2;
МОСКВА1000;crdpol1000.shp;80;71708812304;1523367;35854406152;761684;2;6,5;0,812;2;
ПЕТРОЗАВОДСК1000;crdpol1000.shp;5;89056744387;1252104;89056744387;1252104;1;8;1;1;
РОСТОВ-ДОН1000;crdpol1000.shp;5;62183322523;1008883;62183322523;1008883;1;8;1;1;
САЛЕХАРД1000;crdpol1000.shp;213;106415280743;2281684;35471760248;760561;3;6;0,75;3;
СУРГУТ1000;crdpol1000.shp;86;78107609189;1589902;39053804595;794951;2;6;0,75;2;
УСТЮГ1000;crdpol1000.shp;5;72554209945;1105618;72554209945;1105618;1;8;1;1;
УФА1000;crdpol1000.shp;74;63863154709;1426069;31931577355;713034;2;6,5;0,812;2;
ВОРОНЕЖ200;csrpol200.shp;5802;1004612238;1419278;1732090;2447;580;4,324;0,333;580;
ГРОЗНЫЙ200;csrpol200.shp;9401;331894328;1928264;282945;1644;1173;4,084;0,314;1173;
МОСКВА200;csrpol200.shp;7141;336150958;1462099;503220;2189;668;4,376;0,337;668;
ПЕТРОЗАВОДСК200;csrpol200.shp;1180;627626115;306610;7132115;3484;88;5,068;0,39;88;
РОСТОВ-ДОН200;csrpol200.shp;14485;481050122;3603417;271780;2036;1770;4,06;0,312;1770;
САЛЕХАРД200;csrpol200.shp;0;0;0;0;0;0;0;0;0;
СУРГУТ200;csrpol200.shp;265;2922766;31597;132853;1436;22;4,818;0,371;22;
УСТЮГ200;csrpol200.shp;940;98316498;238842;1104680;2684;89;4,539;0,349;89;
УФА200;csrpol200.shp;2651;1065626480;683270;4130335;2648;258;4,543;0,349;258;
ВОРОНЕЖ500;csrpol500.shp;588;613739663;231316;55794515;21029;11;6,364;0,49;11;
ГРОЗНЫЙ500;csrpol500.shp;750;98276071;409393;927133;3862;106;4,509;0,347;106;
МОСКВА500;csrpol500.shp;151;75763119;73005;8418124;8112;9;6;0,462;9;
ПЕТРОЗАВОДСК500;csrpol500.shp;266;732497375;169846;146499475;33969;5;7,4;0,569;5;
РОСТОВ-ДОН500;csrpol500.shp;86;8082632;34681;1010329;4335;8;5,875;0,452;8;
САЛЕХАРД500;csrpol500.shp;18;1077176;8390;359059;2797;3;8,333;0,641;3;
СУРГУТ500;csrpol500.shp;1147;10999524155;508806;2199904831;101761;5;8;0,615;5;
УСТЮГ500;csrpol500.shp;12;633022;2998;633022;2998;1;13;1;1;
УФА500;csrpol500.shp;343;332618940;168086;30238085;15281;11;6,182;0,476;11;
ВОРОНЕЖ1000;csrpol1000.shp;83;368707352;87980;368707352;87980;1;13;1;1;
