Region;Name;PointsNumber;TotalArea;TotalPerimetr;AveArea;AvePerimetr;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
САЛЕХАРД500;ghppol500.shp;0;0;0;NaN;NaN;0;0;0;0;
САЛЕХАРД500;pippol500.shp;26;2647679;10288;1323839;5144;2;6.500;0.812;2;
САЛЕХАРД500;poppol500.shp;293;32023272;102345;1104251;3529;29;5.690;0.406;29;
САЛЕХАРД500;rlfpol500.shp;6735;132503853260;12812953;8833590217;854197;15;4.400;0.489;15;
СУРГУТ500;admpol500.shp;1010;90427539371;1742877;45213769686;871438;2;5.500;0.917;2;
СУРГУТ500;bldpol500.shp;0;0;0;NaN;NaN;0;0;0;0;
СУРГУТ500;blkpol500.shp;691;34212822;266039;273703;2128;125;4.040;0.449;125;
СУРГУТ500;compol500.shp;0;0;0;NaN;NaN;0;0;0;0;
СУРГУТ500;crdpol500.shp;20;77705872098;2167316;19426468025;541829;4;6.500;0.722;4;
СУРГУТ500;csrpol500.shp;1147;10999524155;508806;2199904831;101761;5;8.000;0.615;5;
СУРГУТ500;ghppol500.shp;0;0;0;NaN;NaN;0;0;0;0;
СУРГУТ500;pippol500.shp;8;517310;3058;517310;3058;1;8.000;1.000;1;
СУРГУТ500;poppol500.shp;984;185428477;365817;2540116;5011;73;5.233;0.374;73;
СУРГУТ500;rlfpol500.shp;0;0;0;NaN;NaN;0;0;0;0;
УСТЮГ500;admpol500.shp;3256;142206884483;3862825;28441376897;772565;5;5.200;0.867;5;
УСТЮГ500;bldpol500.shp;0;0;0;NaN;NaN;0;0;0;0;
УСТЮГ500;blkpol500.shp;27340;634187660;7566230;123841;1477;5121;4.001;0.445;5121;
УСТЮГ500;compol500.shp;0;0;0;NaN;NaN;0;0;0;0;
УСТЮГ500;crdpol500.shp;20;72585014486;2214264;18146253622;553566;4;6.500;0.722;4;
УСТЮГ500;csrpol500.shp;12;633022;2998;633022;2998;1;13.000;1.000;1;
УСТЮГ500;ghppol500.shp;0;0;0;NaN;NaN;0;0;0;0;
УСТЮГ500;pipol500.shp;0;0;0;NaN;NaN;0;0;0;0;
УСТЮГ500;poppol500.shp;19044;1635217174;6566073;909971;3654;1797;4.888;0.349;1797;
УСТЮГ500;rlfpol500.shp;0;0;0;NaN;NaN;0;0;0;0;
УФА500;admpol500.shp;857;70063433656;1453628;14012686731;290726;5;5.200;0.867;5;
УФА500;bldpol500.shp;175;2691496;39275;81560;1190;33;4.182;0.418;33;
УФА500;blkpol500.shp;57652;1086981481;14560391;100927;1352;10770;4.001;0.445;10770;
УФА500;compol500.shp;0;0;0;NaN;NaN;0;0;0;0;
УФА500;crdpol500.shp;30;63585025922;2466294;10597504320;411049;6;5.167;0.574;6;
УФА500;csrpol500.shp;343;332618940;168086;30238085;15281;11;6.182;0.476;11;
УФА500;ghppol500.shp;7;1556425;6604;1556425;6604;1;6.000;1.000;1;
УФА500;pippol500.shp;0;0;0;NaN;NaN;0;0;0;0;
УФА500;poppol500.shp;41244;2962912901;9442612;1390386;4431;2131;4.852;0.347;2131;
УФА500;rlfpol500.shp;0;0;0;NaN;NaN;0;0;0;0;
