Region;Name;PointsNumber;TotalArea;TotalPerimetr;AveArea;AvePerimetr;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
ВОРОНЕЖ200;admpol200.shp;3784;88390029057;2977712;17678005811;595542;5;5.400;0.771;5;
ВОРОНЕЖ200;bldpol200.shp;356;3102618;52524;57456;973;54;4.111;0.411;54;
ВОРОНЕЖ200;blkpol200.shp;24902;315077784;4782816;74381;1129;4236;3.992;0.444;4236;
ВОРОНЕЖ200;blkpol_1200.shp;24902;315077784;4782816;74381;1129;4236;3.992;0.444;4236;
ВОРОНЕЖ200;crdpol200.shp;100;54304366011;4178697;2715218301;208935;20;3.950;0.494;20;
ВОРОНЕЖ200;csrpol200.shp;5802;1004612238;1419278;1732090;2447;580;4.324;0.333;580;
ВОРОНЕЖ200;gndpol200.shp;11047;627681354;1945649;965664;2993;650;4.008;0.573;650;
ВОРОНЕЖ200;hdcpol200.shp;0;0;0;NaN;NaN;0;0;0;0;
ВОРОНЕЖ200;hdrpol200.shp;49576;12985218970;9171157;3614033;2553;3593;4.014;0.268;3593;
ВОРОНЕЖ200;hdtpol200.shp;0;0;0;NaN;NaN;0;0;0;0;
ВОРОНЕЖ200;poppol200.shp;67328;9090381129;20117988;3055590;6762;2975;4.724;0.337;2975;
ВОРОНЕЖ200;rlfpol2000.shp;434;7038013;54743;281521;2190;25;4.480;0.498;25;
ГРОЗНЫЙ200;admpol200.shp;4670;107317140680;3865959;15331020097;552280;7;5.286;0.755;7;
ГРОЗНЫЙ200;bldpol200.shp;687;2952639;82772;23621;662;125;4.056;0.406;125;
ГРОЗНЫЙ200;blkpol200.shp;34521;311695286;5709335;50608;927;6159;3.967;0.441;6159;
ГРОЗНЫЙ200;crdpol200.shp;968;50700555855;3124304;4225046321;260359;12;3.833;0.479;12;
ГРОЗНЫЙ200;csrpol200.shp;9401;331894328;1928264;282945;1644;1173;4.084;0.314;1173;
ГРОЗНЫЙ200;poppol200.shp;20148;2643573167;5792226;2960328;6486;893;5.129;0.366;893;
ГРОЗНЫЙ200;rlfpol200.shp;8164;439631308;1813649;1029582;4247;427;4.047;0.450;427;
МОСКВА200;admpol200.shp;14435;160135124384;6049075;17792791598;672119;9;5.222;0.746;9;
МОСКВА200;bldpol200.shp;1751;9734743;233489;31813;763;306;4.020;0.402;306;
МОСКВА200;blkpol200.shp;82093;1409340152;16137234;114246;1308;12336;3.983;0.443;12336;
МОСКВА200;crdpol200.shp;125;71337538614;5437579;2853501545;217503;25;3.680;0.460;25;
МОСКВА200;csrpol200.shp;7141;336150958;1462099;503220;2189;668;4.376;0.337;668;
МОСКВА200;poppol200.shp;126328;11684350259;31095268;1383582;3682;8445;4.666;0.333;8445;
МОСКВА200;rlfpol200.shp;827;10309165;92531;171819;1542;60;4.417;0.491;60;
ПЕТРОЗАВОДСК200;admpol200.shp;1148;109551634182;2356020;36517211394;785340;3;5.667;0.810;3;
ПЕТРОЗАВОДСК200;bldpol200.shp;313;1692693;38028;33854;761;50;4.120;0.412;50;
ПЕТРОЗАВОДСК200;blkpol200.shp;14567;97925034;2081156;40282;856;2431;3.992;0.444;2431;
ПЕТРОЗАВОДСК200;crdpol200.shp;150;89135844393;6706362;2971194813;223545;30;3.467;0.433;30;
ПЕТРОЗАВОДСК200;csrpol200.shp;1180;627626115;306610;7132115;3484;88;5.068;0.390;88;
ПЕТРОЗАВОДСК200;poppol200.shp;16977;885546010;3383914;788554;3013;1123;4.907;0.351;1123;
ПЕТРОЗАВОДСК200;rlfpol200.shp;2126;31860239;287419;254882;2299;125;4.088;0.454;125;
РОСТОВ-ДОН200;admpol200.shp;4958;139870396319;3929322;34967599080;982330;4;5.500;0.786;4;
РОСТОВ-ДОН200;bldpol200.shp;1052;5538963;140177;29940;758;185;4.027;0.403;185;
РОСТОВ-ДОН200;blkpol200.shp;54836;577355674;9952614;57736;995;10000;3.966;0.441;10000;
РОСТОВ-ДОН200;crdpol200.shp;100;62199424030;4461792;3109971202;223090;20;3.800;0.475;20;
РОСТОВ-ДОН200;csrpol200.shp;14485;481050122;3603417;271780;2036;1770;4.060;0.312;1770;
РОСТОВ-ДОН200;poppol200.shp;39165;7576748616;13455395;4420507;7850;1714;4.892;0.349;1714;
РОСТОВ-ДОН200;rlfpol200.shp;140;1231461;16728;87961;1195;14;4.500;0.500;14;
САЛЕХАРД200;admpol200.shp;1235;139441631689;2479202;69720815845;1239601;2;6.000;0.857;2;
САЛЕХАРД200;bldpol200.shp;10;12805;800;6403;400;2;7.000;0.700;2;
САЛЕХАРД200;blkpol200.shp;309;3008875;53912;55720;998;54;4.111;0.457;54;
САЛЕХАРД200;crdpol200.shp;5046;105233404586;9209837;2192362596;191872;48;3.604;0.451;48;
САЛЕХАРД200;csrpol200.shp;0;0;0;NaN;NaN;0;0;0;0;
САЛЕХАРД200;poppol200.shp;461;41743738;129506;1018140;3159;41;5.463;0.390;41;
САЛЕХАРД200;rlfpol200.shp;4648;2131974630;2522662;7326373;8669;291;4.034;0.448;291;
СУРГУТ200;admpol200.shp;414;88495652072;1702635;44247826036;851317;2;6.000;0.857;2;
СУРГУТ200;bldpol200.shp;37;172685;4515;24669;645;7;5.000;0.500;7;
СУРГУТ200;blkpol200.shp;2224;24744301;385385;63610;991;389;4.013;0.446;389;
СУРГУТ200;crdpol200.shp;3318;77737092975;6281399;2591236433;209380;30;4.000;0.500;30;
СУРГУТ200;csrpol200.shp;265;2922766;31597;132853;1436;22;4.818;0.371;22;
СУРГУТ200;poppol200.shp;1231;275546354;440234;2811697;4492;98;4.908;0.351;98;
СУРГУТ200;rlfpol200.shp;211;3348081;28886;209255;1805;16;4.375;0.486;16;
УСТЮГ200;admpol200.shp;3708;146200043125;4037274;24366673854;672879;6;5.333;0.762;6;
УСТЮГ200;bldpol200.shp;0;0;0;NaN;NaN;0;0;0;0;
УСТЮГ200;blkpol200.shp;15306;115192888;2350980;44186;902;2607;3.992;0.444;2607;
УСТЮГ200;crdpol200.shp;125;72597329978;5524095;2903893199;220964;25;4.240;0.530;25;
УСТЮГ200;csrpol200.shp;940;98316498;238842;1104680;2684;89;4.539;0.349;89;
УСТЮГ200;poppol200.shp;45552;2302756157;11342175;574253;2828;4010;4.805;0.343;4010;
УСТЮГ200;rlfpol200.shp;19;121385;1741;121385;1741;1;9.000;1.000;1;
УФА200;admpol200.shp;741;70667933660;1468345;14133586732;293669;5;5.400;0.771;5;
УФА200;bldpol200.shp;509;2854836;82860;32077;931;89;4.045;0.404;89;
УФА200;blkpol200.shp;31787;254210097;4934742;46011;893;5525;3.969;0.441;5525;
УФА200;crdpol200.shp;530;63614677892;4527014;3180733895;226351;20;3.550;0.444;20;
УФА200;csrpol200.shp;2651;1065626480;683270;4130335;2648;258;4.543;0.349;258;
УФА200;poppol200.shp;45172;3959173376;12076424;1394075;4252;2840;4.832;0.345;2840;
