Region;Name;PointsNumber;BendNumber;AveAngle;TotalArea;Length;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
ВОРОНЕЖ1000;admlin1000.shp;3706;1891;49;4020505020;4564165;4316;3481;810;3554;2126126;136;3.015;0.754;136;
ВОРОНЕЖ1000;comlin1000.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ВОРОНЕЖ1000;crdlin1000.shp;60;2;0;240780374;386612;193306;193294;935;193294;120390187;2;4.000;0.667;2;
ВОРОНЕЖ1000;hdclin1000.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ВОРОНЕЖ1000;hddlin1000.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ВОРОНЕЖ1000;hdrlin1000.shp;10399;4205;22;3470932369;5946998;3069;2779;410;2789;827595;483;3.135;0.348;483;
ВОРОНЕЖ1000;hdrlin1000clip.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ВОРОНЕЖ1000;hdtlin1000.shp;8;1;14;8905327;8407;8407;6956;2053;6956;8905327;1;15.000;1.000;1;
ВОРОНЕЖ1000;piplin1000.shp;1103;546;7;3100094762;857773;12379;12098;678;12098;5688247;17;3.882;0.324;17;
ВОРОНЕЖ1000;rdclin1000.shp;4;2;31;59983;1083;744;721;82;721;29991;1;13.000;1.000;1;
ВОРОНЕЖ1000;rdslin1000.shp;5773;2311;18;6698129186;8073392;6767;6479;616;6481;2900879;834;3.049;0.191;834;
ВОРОНЕЖ1000;rdslin1000clip.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ВОРОНЕЖ1000;rlflin1000.shp;800;274;13;146081308;516314;3090;3000;257;3000;533143;138;3.029;0.433;138;
ВОРОНЕЖ1000;rlhlin1000.shp;43905;14380;26;16690843074;24816288;3457;2658;575;2802;1166132;377;3.016;0.503;377;
ВОРОНЕЖ1000;rrslin1000.shp;1242;577;11;5972987341;1401614;11593;11103;1048;11106;10387804;42;3.167;0.452;42;
ВОРОНЕЖ1000;veglin1000.shp;36;8;35;12856897;60581;4112;3783;571;3783;1607112;13;3.462;0.385;13;
ГРОЗНЫЙ1000;admlin1000.shp;3018;1391;34;3887322151;3749325;5453;4745;779;4794;2794624;115;3.026;0.757;115;
ГРОЗНЫЙ1000;comlin1000.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ГРОЗНЫЙ1000;crdlin1000.shp;56;2;0;229355813;417811;208905;208897;824;208897;114677907;2;4.000;0.667;2;
ГРОЗНЫЙ1000;piplin1000.shp;634;309;8;8426225964;1118615;22216;21494;1516;21494;27269340;46;3.261;0.272;46;
ГРОЗНЫЙ1000;rdclin1000.shp;7;1;2;3232;1922;799;799;8;799;3232;3;6.333;0.487;3;
ГРОЗНЫЙ1000;rdslin1000.shp;4344;1566;17;5013013441;6379086;7207;6852;674;6856;3201158;606;3.099;0.194;606;
ГРОЗНЫЙ1000;rlflin1000.shp;49;22;12;10507794;30172;3044;2988;206;2988;500371;7;3.714;0.531;7;
ГРОЗНЫЙ1000;rrslin1000.shp;500;270;6;26640530251;658642;33116;32012;2620;32012;98668631;14;3.500;0.500;14;
МОСКВА1000;admlin1000.shp;9193;4279;39;4682260316;6610859;3038;2516;543;2551;1096805;221;3.009;0.752;221;
МОСКВА1000;comlin1000.shp;137;79;16;1118794188;409816;16033;15611;1075;15610;14161952;8;3.875;0.484;8;
МОСКВА1000;crdlin1000.shp;74;2;0;396873283;434834;217417;217394;1370;217394;198436641;2;4.000;0.667;2;
МОСКВА1000;piplin1000.shp;2373;1294;12;3725191169;1642382;8373;8213;426;8213;2878819;53;3.226;0.269;53;
МОСКВА1000;rdclin1000.shp;6;2;1;1543;1448;724;724;2;724;772;2;8.000;0.615;2;
МОСКВА1000;rdslin1000.shp;9637;3615;19;7539047088;13034826;5904;5634;546;5640;2086067;1758;3.060;0.191;1758;
МОСКВА1000;rlflin1000.shp;48;17;13;7157876;26161;2328;2222;239;2222;421052;10;3.400;0.486;10;
МОСКВА1000;rrslin1000.shp;3279;1538;11;7537676158;3403182;8761;8474;658;8475;4907341;183;3.060;0.437;183;
ПЕТРОЗАВОДСК1000;admlin1000.shp;3674;1597;36;5016488223;3852384;5248;4505;725;4599;3141195;43;3.070;0.767;43;
ПЕТРОЗАВОДСК1000;comlin1000.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ПЕТРОЗАВОДСК1000;crdlin1000.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ПЕТРОЗАВОДСК1000;piplin1000.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ПЕТРОЗАВОДСК1000;rdclin1000.shp;247;119;3;55903579;78383;4823;4759;193;4759;469778;22;3.500;0.269;22;
ПЕТРОЗАВОДСК1000;rdslin1000.shp;6956;2519;17;7175758424;7945725;6353;5989;674;5992;2849785;673;3.065;0.192;673;
ПЕТРОЗАВОДСК1000;rlflin1000.shp;12;3;17;2248561;7374;2695;2515;325;2515;749520;2;5.000;0.714;2;
ПЕТРОЗАВОДСК1000;rrslin1000.shp;915;360;11;4217728738;1061570;15766;15198;1133;15201;11715913;24;3.292;0.470;24;
РОСТОВ-ДОН1000;admlin1000.shp;3956;1891;60;6274685660;5535368;4994;3924;966;4017;3325218;166;3.018;0.755;166;
РОСТОВ-ДОН1000;comlin1000.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
РОСТОВ-ДОН1000;crdlin1000.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
РОСТОВ-ДОН1000;piplin1000.shp;956;483;9;5561025868;1673165;19240;18935;852;18937;11513511;56;3.196;0.266;56;
