Region;Name;PointsNumber;BendNumber;AveAngle;TotalArea;Length;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
ПЕТРОЗАВОДСК200;rdslin200.shp;113240;42656;18;7273497131;29131474;1512;1423;159;1424;170643;11798;3.004;0.250;11798;
ПЕТРОЗАВОДСК200;rlflin200.shp;1728;578;22;39628813;335054;904;826;103;833;68681;280;3.021;0.432;280;
ПЕТРОЗАВОДСК200;rrslin200.shp;4129;1693;13;3018182115;1730062;4801;4588;402;4590;1784850;206;3.049;0.436;206;
РОСТОВ-ДОН200;admlin200.shp;3164;1263;39;1295361796;1531478;3041;2681;380;2707;1025623;27;3.074;0.769;27;
РОСТОВ-ДОН200;bldlin200.shp;39979;3338;70;111787322;6550813;595;381;145;404;34061;17480;2.816;0.704;17480;
РОСТОВ-ДОН200;comlin200.shp;5606;2768;21;16120798878;10433566;10692;10246;768;10257;5870648;576;2.530;0.316;576;
РОСТОВ-ДОН200;crdlin200.shp;62;0;0;0;1726445;NaN;NaN;NaN;NaN;NaN;31;2.452;0.409;31;
РОСТОВ-ДОН200;csrlin200.shp;178;37;42;2878722;32310;747;480;196;507;79965;47;3.255;0.326;47;
РОСТОВ-ДОН200;forlin200.shp;53;3;89;474731;29202;1159;857;364;857;158244;25;3.080;0.616;25;
РОСТОВ-ДОН200;piplin200.shp;4929;1964;17;6795954799;4847706;8800;8571;475;8575;3501265;840;3.024;0.252;840;
РОСТОВ-ДОН200;rdclin200.shp;1334;233;13;96948275;590597;3059;2965;189;2967;419690;461;3.221;0.230;461;
РОСТОВ-ДОН200;rdslin200.shp;153455;24300;28;3865092471;51813648;1468;1357;160;1360;160651;58259;2.920;0.243;58259;
РОСТОВ-ДОН200;rlflin200.shp;2865;899;20;107072633;627480;1179;1077;135;1085;119235;469;3.017;0.431;469;
РОСТОВ-ДОН200;rrslin200.shp;2818;1021;9;8576572172;2042258;10466;10046;750;10052;8408404;325;3.037;0.434;325;
САЛЕХАРД200;admlin200.shp;720;275;18;1890481650;442970;5917;5349;813;5367;6874479;6;3.333;0.833;6;
САЛЕХАРД200;bldlin200.shp;99;9;65;127717;13590;397;299;93;313;14191;44;3.023;0.756;44;
САЛЕХАРД200;comlin200.shp;348;182;15;1393018289;717713;11961;11602;845;11604;7653947;18;3.000;0.375;18;
САЛЕХАРД200;crdlin200.shp;2568;55;0;78555661;3911627;44555;44555;51;44555;1482182;83;2.301;0.384;83;
САЛЕХАРД200;csrlin200.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
САЛЕХАРД200;forlin200.shp;1490;235;29;416032829;2010416;5418;5093;498;5098;1777918;601;3.003;0.601;601;
САЛЕХАРД200;piplin200.shp;317;164;11;1322780830;526667;12532;12243;870;12243;8065737;19;3.947;0.329;19;
САЛЕХАРД200;rdclin200.shp;152;61;16;13916694;54485;1908;1851;150;1851;228143;25;3.480;0.249;25;
